"","Symbol","E12/E11","E13/E12","E14/E13","E13/E11","E14/E11","E14/E12"
"272","Lhx8",2.13545745532838,0.673946592582264,NA,NA,3.50211762285603,0.813458162800535
"273","Lhx9",-0.989560536069062,-1.02957642536006,-0.863045771709421,-0.863045771709421,-3.30683909281899,-2.15661104785417
"274","Lin28a",-2.17649469046204,NA,NA,NA,-2.77488929008529,NA
"275","Lin28b",-1.54824074956723,NA,NA,NA,-2.44169217959249,-0.693974570511295
"276","Lmx1a",NA,NA,NA,NA,1.39772337239613,NA
"277","Lmx1b",NA,NA,NA,NA,-1.34232424183364,-0.948482869549552
"278","Lrrfip1",NA,NA,NA,NA,0.946438521210451,0.689456961122274
"279","Ltf",1.09126178102508,NA,1.36031696232287,1.36031696232287,4.034082114153,2.08471405728994
"280","Lyl1",1.02836117683208,NA,NA,NA,2.83032810243714,1.49570883486875
"281","Maf",1.36062771053672,NA,NA,NA,2.37306296507055,0.922345121741126
"282","Mafb",0.868484518297922,NA,NA,NA,0.789977979211244,NA
"283","Maff",0.828626839585836,NA,NA,NA,1.19610365961156,NA
"284","Mafk",NA,NA,NA,NA,1.02104091950515,0.52686754381413
"285","Mbd4",-0.597408295499373,NA,NA,NA,-0.997098587880276,NA
"286","Mbtps2",NA,NA,NA,NA,-0.569446327358356,NA
"287","Mecom",-0.835533963749205,-1.00113256103526,-0.779947081821539,-0.779947081821539,-2.890017295545,-1.94445002660487
"288","Mef2a",NA,NA,NA,NA,0.583784080160553,NA
"289","Mef2c",0.96662086441368,NA,NA,NA,1.07657012231719,NA
"290","Mef2d",NA,NA,NA,NA,0.535140639550407,NA
"291","Meis2",NA,NA,NA,NA,-0.733724689236983,NA
"292","Meis3",0.861624073124294,0.548630141774496,NA,NA,1.70855546037777,0.805553473151913
"293","Meox1",0.542242355674506,-0.539613943777447,NA,NA,NA,-0.636646298678496
"294","Meox2",NA,NA,NA,NA,-0.524674131784639,NA
"295","Mesp2",NA,NA,NA,NA,1.22675717107443,NA
"296","Mier1",NA,NA,NA,NA,-0.513246704597531,NA
"297","Mis18bp1",-0.555562085298372,NA,NA,NA,-1.13419168199521,-0.57038955105372
"298","Mitf",1.04644747700121,0.653523522941079,NA,NA,2.48295915677318,1.26325729332291
"299","Mkx",0.689129282346882,NA,NA,NA,NA,NA
"300","Mlxipl",-0.656866245847863,NA,-0.713341608947176,-0.713341608947176,-1.59392781133127,-0.918723076102202
"301","Mnx1",-1.06564409862898,NA,NA,NA,-4.12344306692648,-1.81021769224153
"302","Msc",1.01574663412583,NA,NA,NA,1.11281430801036,NA
"303","Msx1",NA,NA,NA,NA,-0.944919908552453,-1.03553698960272
"304","Msx2",-0.605687988704768,-0.603350700166455,NA,NA,-1.72201809960603,-1.03339962137732
"305","Mybl1",-0.763066657835297,NA,NA,NA,-1.37802729795429,-0.59139476830882
"306","Mybl2",NA,NA,NA,NA,-0.558935313552234,NA
"307","Myc",0.775346124664484,NA,NA,NA,1.33266473139134,0.517610924316191
"308","Mycl",NA,NA,NA,NA,-0.896538526929523,-0.67731503704054
"309","Mycn",-1.2122558971671,-0.507118072870902,-0.68228402976364,-0.68228402976364,-2.53960827013864,-1.27650068776912
