"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","cluster"
"Egr1",0,0.333699774096942,0.38374288278692,0.230144250963228,0.21261555613184,0.971411410269477,1,0.896090642631027,0.49134428946605,0.519675876951515,0.59833864692932,0.599782563514387,0.769459494708133,0.574297099913783,0.545241961004128,0.531073840075656,0.357895897416438,0.499134042465145,0.767869955576251,0.496863990648053,0.398630983061623,0.590782891833386,0.395799040291875,2
"Fezf2",0.286679705231099,0.270690554050454,0.217667487999493,0.188052451037425,0.356612219253777,0.715986801264558,1,0.876898772862484,0.693538121032245,0.496341991671259,0.272826692577127,0.250153409040033,0.245146679718023,0.329351419294143,0.232664586297042,0.522967613840587,0.491732637115275,0.441692311208962,0.644492499081388,0.524252385911947,0.530721468802445,0,0.0580503904008622,2
"Fos",0,0.330697071842688,0.400934979023836,0.278497027346102,0.274206802113234,0.924445562221649,0.951663028421412,0.924945267168809,0.518456511566683,0.437376700124001,0.741649121594673,0.631839255983726,0.882198080571438,0.525943330886817,0.648520622218327,0.486395891564241,0.300035171104958,0.439296570825212,1,0.541001073649868,0.635810812668148,0.911549566474519,0.719482615056546,2
"Fosb",0.177345971047203,0.536063309636746,0.564148856014421,0.43566574750053,0.289324911333075,0.994734886275363,1,0.970516743950152,0.417906097725681,0,0.492012187012725,0.404297971412497,0.572165743979486,0.179250282122451,0.359785952004915,0.313299722354153,0.0264706541153969,0.19263862276187,0.908435215792897,0.464297663684114,0.217456981164799,0.668765492158024,0.387246615591542,2
"Hand1",0.239465601704624,0.297164791923776,0.354690623694148,0.330782082616495,0.270910627197755,0.122165043692164,0.542443473861829,0.519988864786176,0.288973347431767,0.191748480555287,0.181141209253563,0.109758303832416,0.0072779856101051,0.143986826470571,0.0379614984202874,0.309124588407136,0.166476613320212,0.672118160423424,0.874498831000246,0,0.0309417930573857,1,0.757759768510074,2
"Junb",0,0.200588101224107,0.303436379536109,0.253007283552674,0.161060659726505,0.77052922800604,0.917952959541591,0.713447652132704,0.612223777815842,0.328200154312293,0.800632679269262,0.617592415236768,0.871419959017336,0.588047916626796,0.625297394176372,0.544054215945239,0.436899417059687,0.655053999338028,0.862425505325573,0.555881065803496,0.575498730356378,1,0.800795993596053,2
"Runx1",0.161363622258216,0.280170712489161,0.251030906637889,0.245220672230514,0.302883753846866,0.426667892583037,0.6130908922622,0.353682408696728,0.640917687834003,0.107552257520356,0.211027527810676,0.277704973733123,0.0899318047014987,0.142841047639667,0.375066686716548,0.33832957837581,0,0.118702521978644,1,0.503001920392955,0.739010881115115,0.744143594960463,0.620512891862242,2
"Arid5a",0.452642249035421,0.582056756157858,0.44646502748306,0.301375091897032,0.440288422746503,0,0.27736175373691,0.221753760646518,0.623162759573343,0.238465066381263,0.511486102987605,0.597813469401953,0.586856834264654,0.738618117326265,0.585973141459506,0.672096939054501,0.48154009746174,0.567039725189849,0.830362619966394,0.722753736450063,1,0.699053523504309,0.833818355985334,3
"Batf",0.0784425339339534,0.0864012297522833,0.0555820767575454,0.044991153159485,0.0603725618410435,0,0.0926129235538014,0.0804535192621043,0.495327341737755,0.0251978641424971,0.286520612687054,0.382336395119351,0.352620780458281,0.356562777550459,0.631576207391971,0.336651109781557,0.283711965628204,0.448543469654799,0.806800459131091,0.65536342596413,1,0.745857710340463,0.841518541407124,3
"Bhlhe41",0,0.165242925650709,0.266827872118877,0.0529965934330641,0.209305033278646,0.208340939088045,0.36161270461061,0.56757792524326,0.665105029111175,0.439932717872831,0.500457611698707,0.412454086446091,0.651227811323864,0.723485030141979,0.530956328012359,0.466255535253758,0.290948916318888,0.533447530860656,0.804200337153259,0.865178622955669,1,0.623105275810815,0.586233088487693,3
"Cebpa",0.0393594006494841,0.0405256310577095,0.0182750817353421,0.0526728848303641,0.0725645924443027,0,0.253292192707178,0.154238009889919,0.319597444177311,0.449728473371625,0.437174941632949,0.406957395023056,0.512292270852357,0.530330156999542,0.513252438703302,0.470399622087108,0.484434338876774,0.454420961527617,0.717140219099816,0.724429030137004,1,0.650161184487297,0.851533346511208,3
"Cebpb",0.135221706002764,0.0870263387548317,0,0.175390667249862,0.220027924936269,0.101537079060026,0.277573631353438,0.332183850293177,0.579669968324093,0.261310583015981,0.420366164042565,0.390698965935658,0.706008630217287,0.63324894202423,0.660656016745653,0.65848485254061,0.664899122405369,0.752132407877647,0.835247978656539,0.871406739990257,1,0.859953308574972,0.917539359035561,3
"Cebpd",0.0426380876305302,0.136961891774238,0.170124918777649,0.291093638130708,0.367072923949533,0,0.0499070159821567,0.0784346965602828,0.427049544949074,0.285340023750038,0.455334528843743,0.422176105645091,0.50853366730449,0.476348627365349,0.467531772842578,0.488534314278623,0.684598499592952,0.639720258829286,0.719664181576887,0.638377948084257,1,0.607695381239937,0.691556634333717,3
"Csrnp1",0.147483606971338,0.276514441320742,0.225337499612011,0.145255303234442,0.0540635055955463,0.097890281852094,0.550210904775031,0.268277964181276,0.369613439478324,0.115792183426269,0.121577761540582,0,0.547492412479695,0.270570043970537,0.381474697718375,0.556215193820283,0.535889494404146,0.60187664868641,0.687712677367053,0.521592068163771,0.645106026673116,1,0.69393210362737,3
"Elf1",0.213204660214547,0.535640211367193,0.471535903236875,0.478263057529009,0.725595217293715,0.0592418733941498,0.135577252739927,0,0.335853914551293,0.37207799445494,0.296552354652808,0.347540550584543,0.323119993213037,0.279309132253318,0.507863191246424,0.232256871883996,0.212276063505965,0.415113295439577,0.821730960895514,0.423873103490777,0.809060495921558,1,0.924810228234245,3
"Gata1",0.463125857558576,0.296564492803677,0.221097894079582,0.378685099283526,0.338593641469284,0,0.108968028591388,0.258265452611434,0.546068826458108,0.0157982984674878,0.363040573381308,0.334746625149405,0.34476959705802,0.291164792045427,0.81631136662723,0.439895790035164,0.402670766975727,0.659574444249409,0.708720307635158,0.59366068763744,0.789711532827264,1,0.981381387480686,3
"Gata2",0,0.0791980254852297,0.076519147643745,0.0760667943220134,0.15728450664748,0.0508698125816941,0.0631136610174751,0.0575906085028296,0.358453979791419,0.0858795709762343,0.312356023998283,0.404538252776782,0.302159487220307,0.352173535544966,0.755422213396325,0.472836500072603,0.437863745366801,0.612138897582779,0.462423763352171,0.594824614597773,0.725031611850979,1,0.979632262139273,3
"Gfi1",0.164710626851986,0.126411119824333,0.00495392883585598,0.210787203755544,0.174301066566999,0,0.0385592934494484,0.0202840430617382,0.398973826340859,0.0255180182279566,0.130764138693908,0.222614051422667,0.453084954746877,0.602146638376206,0.729165889977712,0.415421968166264,0.435437006363479,0.559442403380127,0.759367006156959,0.590181941893532,0.906815074804118,0.924330403580565,1,3
"Hhex",0.296905497020197,0.213698660227912,0.292035248013646,0.568710379194983,0.563884965284574,0.0191791648014178,0,0.0312285115895339,0.654462629963195,0.284892627218305,0.219572628695807,0.295433400894315,0.491375676671579,0.364298636957981,0.520488633794406,0.324617679093916,0.29990130485802,0.530439502647729,1,0.64283598974248,0.895569388565105,0.54744332473249,0.477441221580497,3
"Hlx",0.103541386326374,0.150817521680486,0.201941608935652,0.0891025890041452,0.125611624485813,0,0.29624516114377,0.262467616890303,0.483860028108599,0.407957928057254,0.463566309729689,0.157537677604067,0.455995187122432,0.252854255844038,0.496842538793202,0.431936157498082,0.654799527361483,0.713210708662362,1,0.672312768252485,0.715461351508851,0.331479229284585,0.553905656969755,3
"Ikzf1",0.295897843663777,0.127782685633088,0.116269241996151,0.236704756214275,0.390308828634962,0.293184231878996,0.374541798430228,0.255793717710971,0.760249695009773,0,0.418756986122569,0.531031737580119,0.450003361867049,0.536646147897013,0.844441438975454,0.511390478482577,0.409628998149248,0.599641155322344,0.940085186828399,0.776707215697881,0.927488686241594,1,0.946318771376136,3
"Irf4",0.099228105730568,0,0.00207435171585583,0.134891360162341,0.0847245205776152,0.149464202750582,0.387739414278702,0.382032959833018,0.443207269816658,0.216865218633875,0.328141132545784,0.310440486235006,0.465207719126038,0.463744932326001,0.501040620659729,0.574587155196996,0.391201746088854,0.687819963554298,0.645431531479102,0.603337319036348,0.788177551319015,1,0.749200606320829,3
"Irf5",0.191756223381165,0.403239630336712,0.333077982236085,0.372800188785207,0.401613390448381,0.0499935050347806,0.237118203734735,0.187521636739385,0.613576729303288,0,0.331170924076982,0.455495845537369,0.408470646379738,0.449404972361468,0.577344247349946,0.332435901281035,0.232858126657793,0.477590576950813,0.906156875283288,0.811635357967854,1,0.52309109252867,0.56267554655552,3
"Irf7",0.225900195163695,0,0.00551924126096051,0.117526437101085,0.241878900787564,0.0752600188213057,0.240326405807671,0.167958961731536,0.738779512512189,0.426931177611477,0.396451363653984,0.346346178906362,0.400648718561698,0.837039062447154,0.771847401856915,0.381204409911723,0.464502906012371,0.606252440221735,0.917328691364193,0.808262915681808,0.973705628629017,0.967729758689149,1,3
"Irf8",0.29188874159225,0.0295496817203601,0,0.176205207807014,0.23464714354225,0.176480447508636,0.309928313425947,0.236684615137403,0.669838758164698,0.0772048034553978,0.245737511765399,0.40201261569148,0.415862657051482,0.45370230329196,0.555177782050121,0.43396513538327,0.285473905427842,0.41586528528479,0.976017728811244,0.820691377701905,1,0.470080014082343,0.517026634462736,3
"Klf2",0,0.132418367727025,0.246425787154646,0.362692406732829,0.224150551916786,0.196917370595621,0.442459610121991,0.463818643039683,0.528630789997708,0.3257928676139,0.633918431447155,0.507102425095668,0.663258157454322,0.492091968982774,0.629981851216264,0.479711573538626,0.499856907729101,0.608709005975477,0.994594005972052,0.595240432518978,0.722144882551794,0.958881713554443,1,3
"Lyl1",0.195730768152528,0.109559565356196,0,0.221035643299212,0.142327932985352,0.0696770154965676,0.140647183897754,0.158437826133949,0.652755795208907,0.10650704043863,0.360656023758447,0.364623104250141,0.47043888403502,0.510222085606817,0.632864683742114,0.38182483205851,0.32955977649715,0.459843514632385,1,0.728812886387722,0.966515323967919,0.571696773047578,0.619616334283531,3
"Maf",0.160456481163391,0,0.0104125851968434,0.017147332978453,0.168136979919284,0.298217724600402,0.333029701734659,0.154963422414971,0.384481057794863,0.314700383525982,0.491138808548181,0.597584075975541,0.464352442638306,0.546759908769416,0.551934257668881,0.482305326917366,0.447347483637097,0.43336277310553,0.781650395624626,0.749407761068554,1,0.530629942114732,0.508836091292692,3
"Mef2c",0.297694982709712,0.148374364211949,0.0960355327314293,0.129959689060537,0.297494552778641,0.271648387472848,0.431154624947379,0,0.541270119827318,0.560692035198047,0.657507100752287,0.839474325553811,0.510761202414313,0.708624285452284,0.637179057357023,0.550425067204178,0.512565810037276,0.53766969567345,0.764314059598494,0.682515157429208,1,0.453533926243492,0.494257223159919,3
