"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol"
"11568",2395.41086689288,0.972639333990143,0.117486686763334,8.2803476991438,1.22816151503146e-16,2.78361147704158e-14,"11568","Aebp1"
"11746",513.944718816837,0.508376004673279,0.106969438799534,4.75169224958369,2.01721236149781e-06,5.30292879734189e-05,"11746","Anxa4"
"12069",619.598551917919,-0.671456114899434,0.156766387531642,-4.27946842997416,1.87340207519296e-05,0.000351069269331132,"12069","Bex2"
"12416",2455.24591277159,-0.678805929200302,0.119007045097948,-5.70178821473312,1.18557070596834e-08,5.70642755744489e-07,"12416","Cbx2"
"494448",4308.43978038656,0.763169289754325,0.0926872188512372,8.23404895669131,1.80989669662146e-16,4.04741165276467e-14,"494448","Cbx6"
"12759",458.517559874188,1.08943992415213,0.208188999932775,5.25287087007569,1.4974652724689e-07,5.59364978838495e-06,"12759","Clu"
"12971",88.5137345882711,-1.07330007720966,0.224882095260544,-4.74666113379306,2.06801986754676e-06,5.40262137359723e-05,"12971","Crym"
"13436",519.993525716907,-0.585609073173258,0.130661710722896,-4.48112499277185,7.42506077993189e-06,0.000163814884955104,"13436","Dnmt3b"
"70127",41.6706071324213,-0.631775623464555,0.207918558787158,-3.03557003586171,0.00240081458294283,0.0186028086880678,"70127","Dpf3"
"13805",1824.73282206184,1.19670041608963,0.187243389513976,6.41090678299911,1.44656629552263e-10,1.07353141188078e-08,"13805","Eng"
"14051",738.992604911847,-0.698054110920255,0.18088525050962,-3.85249911403464,0.000116918399887845,0.00159297758157509,"14051","Eya4"
"15258",624.135161058698,-0.547072795568862,0.177312272355935,-3.08161548527976,0.00205880596873297,0.0164822404332169,"15258","Hipk2"
"15460",155.197317003587,0.725306125958559,0.223639611783776,3.25539886102104,0.00113233218537853,0.0102601163766444,"15460","Hr"
"193740",154.54457710414,-0.764991339515665,0.265562400760201,-2.78411384330732,0.0053674191380354,0.0347725183713192,"193740","Hspa1a"
"16950",1196.89109852543,0.590213037547798,0.151740172043613,3.89205485909174,9.93987612454245e-05,0.00140280974917998,"16950","Loxl3"
"80859",639.321534453405,-0.809006192510668,0.179929229801561,-4.48706208709975,7.22120359520915e-06,0.000160415929402448,"80859","Nfkbiz"
"18132",411.229529782232,0.720304445513584,0.196362865789331,3.6731951389754,0.000239536416236509,0.00292821047603406,"18132","Notch4"
"74016",180.952781596052,0.693610034982267,0.24677987127389,2.83809877375258,0.0045383136274633,0.0308414084926315,"74016","Phf19"
"18708",2974.51703385843,0.622870743455929,0.0804854217056291,7.73918621781474,1.00055146255275e-14,1.67812491299347e-12,"18708","Pik3r1"
"20379",42.0362466071259,1.76132362191775,0.254676227453833,7.04482411338534,1.85695921463725e-12,2.02239739921402e-10,"20379","Sfrp4"
"66104",32.8131250371856,-0.684734553759163,0.230961749818375,-2.95605390154602,0.00311602629645506,0.0229521269407748,"66104","Tceal6"
"70571",88.1165069610433,-0.729059429473268,0.188386343996836,-3.86536645085674,0.000110922530977735,0.00152944117081683,"70571","Tcerg1l"
"23963",61.8935174463097,0.757163607032627,0.201814041527663,3.74918079588149,0.000177413154261525,0.00227838700097573,"23963","Tenm1"
"23964",419.234035398096,1.2881439036291,0.167883183034543,7.67584674560072,1.64329499012618e-14,2.65012918984579e-12,"23964","Tenm2"
"231130",238.14336219668,0.627255535032413,0.179856223748973,3.48888049882648,0.000485047940859235,0.00522158155589928,"231130","Tnip2"
"72169",147.343280696824,1.01957833717427,0.260554668786837,4.04967183214975,5.12895061683947e-05,0.000810770591382014,"72169","Trim29"
"94088",46.7317398793504,-1.1611448526635,0.224418811444411,-5.14590032816536,2.66240765665457e-07,9.34182033837038e-06,"94088","Trim6"
"22416",17.3638240297425,0.619321068794813,0.238672237490712,3.32538719416307,0.000882958219509804,0.00843335171104636,"22416","Wnt3a"
"22417",918.731327802569,0.892739432030456,0.167744359988039,5.32787687914039,9.93674417727462e-08,4.00622772454928e-06,"22417","Wnt4"
"72693",181.337858353108,-0.654773306138402,0.218891854170818,-2.97987568876147,0.00288365380956553,0.0215624795782582,"72693","Zcchc12"
