"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610010F05Rik",1072.31794953413,-0.304300725442588,0.107901065055778,-2.82007317725879,0.00480126990917077,0.0171683551153111
"0610011F06Rik",311.355822755212,-0.279722113569142,0.086548600262662,-3.2314468228961,0.00123165239044884,0.0056290363157232
"0610037L13Rik",904.974235466012,0.185571766565466,0.0726488745355785,2.55443051973403,0.010636165494186,0.0328288259625334
"1110002L01Rik",790.278030904849,-0.36509385644153,0.0568235882496461,-6.42446679209112,1.32332544885251e-10,8.20648820754826e-09
"1110004F10Rik",3009.08902780511,-0.293096294553936,0.0756927667988783,-3.8721254306734,0.000107890402322166,0.000754072704402236
"1110007C09Rik",344.479629785185,0.522091605603245,0.0912375562695471,5.72295070916598,1.04689646257344e-08,3.35887256273563e-07
"1110008L16Rik",456.994476537568,-0.242051942799394,0.0945134231833326,-2.56079986480998,0.0104431496638826,0.032335440473031
"1110028F11Rik",10.4534752644417,1.59396320083683,0.399059824293063,3.88783317667793,0.000101143100641361,0.000716617447014892
"1110051M20Rik",712.034639497791,-0.369729422175879,0.105426153406228,-3.50671400787689,0.000453676460877807,0.00243710495512872
"1190002N15Rik",2958.14304628214,-0.57957895588065,0.190449945231074,-3.04372983605735,0.00233664876738862,0.00949703239177173
"1500009L16Rik",255.754550577181,-0.360216137216412,0.0938610032915234,-3.83674164038005,0.000124677515377109,0.0008484258995224
"1600010M07Rik",2.00839005831407,0.950187166540749,0.384676786661871,2.38413852147008,0.0171191571370583,0.0483568658869102
"1600012H06Rik",780.03093041897,0.250952808772225,0.0911407591760402,2.75356306007931,0.00589504123033746,0.0202699791521204
"1600014C10Rik",346.666934189369,0.275649859945457,0.115636485463874,2.38394803013371,0.0171280210135758,0.0483663344792043
"1700020I14Rik",1239.32959712293,-0.394795651549813,0.0870467948728716,-4.53518712488108,5.7552436297919e-06,6.65776055138288e-05
"1700021K19Rik",1541.52389639115,0.286223500701577,0.083192925543607,3.44053849476636,0.000580557846044947,0.00300111640591718
"1700023F06Rik",9.66217902095622,1.0391900372921,0.386902428757525,2.64931972571515,0.00806539888761424,0.0261544254393255
"1700024P16Rik",28.0733581723626,2.40645564227696,0.399344897302869,5.86708002561966,4.43536636950194e-09,1.62846610428366e-07
"1700030C10Rik",5.04818531217481,1.02798657361574,0.400248110598163,2.52451733369359,0.0115857291198978,0.035178122154707
"1700042O10Rik",17.3946600095067,1.42006956367678,0.370348703418676,3.78822010936004,0.000151730398632627,0.00099174939187714
"1700052K11Rik",372.713810196529,-0.295034573713301,0.114905125881166,-2.56727341369316,0.0102501755243813,0.0318221440744546
"1700066M21Rik",390.523847016967,-0.330836112157826,0.116690451472083,-2.83477645638219,0.00458577615648589,0.0165461290185706
"1700123O20Rik",746.777938663367,-0.194459805014454,0.0789325280759971,-2.4635306461472,0.0137576133778664,0.0405212936410292
"1810011H11Rik",99.3734736911383,1.40623775613908,0.342878501140477,4.07176182279369,4.66588765445922e-05,0.000378227844506971
"1810026B05Rik",1283.63339243993,-0.499609517079284,0.169386381962672,-2.949585742512,0.00318200265413779,0.0122517787468079
"1810037I17Rik",546.192017673806,0.415561599448429,0.112920498041041,3.6803728209687,0.000232893194345788,0.001412815610359
"1810041L15Rik",335.810587696291,0.508540483831391,0.156638765321107,3.24675418116304,0.00116729162552962,0.00538386951856281
"1810043H04Rik",181.030196375297,0.383799365816537,0.153712926464582,2.49743267091565,0.0125096218328455,0.0374712174716571
"1810046K07Rik",8.9795320950459,-2.2594483152767,0.394947825539914,-4.82398806615129,1.40715840420268e-06,2.09462510549254e-05
"1810055G02Rik",1289.58720984893,0.228182098218146,0.0639901377885913,3.56597183890467,0.000362510300223707,0.00202407047955666
"2200002D01Rik",16.4376047047957,1.19424363529726,0.399956334074018,2.91037644963613,0.00360993660727414,0.0136128894408382
"2210011C24Rik",7.10730935016428,1.19965343159399,0.400094390185946,2.93231362028661,0.00336446799826515,0.0128361768194681
"2210016F16Rik",599.431387517639,0.325565402684721,0.0765003103616617,4.25600818004464,2.08109095704552e-05,0.000195624779304493
"2210018M11Rik",2216.61308982938,-0.205814620238754,0.0838557882075207,-2.45435307567387,0.0141138326998306,0.0413449781141757
"2310007B03Rik",37.5895877786031,1.3949786653513,0.386805659122267,3.57647877910308,0.000348253572782718,0.00196313195202435
"2310015A10Rik",399.732002306777,0.265908994171509,0.110788630152433,2.4003085026467,0.0163812594197123,0.0467313236046736
"2310047M10Rik",379.693418828353,0.34186131823785,0.108129129510016,3.16191087177699,0.0015673752944814,0.00686313283885943
"2410002F23Rik",4271.39308960811,-0.154111951170933,0.0579264273615903,-2.66046035291742,0.00780339137455809,0.0255312301684367
"2410006H16Rik",814.672850137827,0.380034369708302,0.0842449846015451,4.51124280312345,6.44488962428833e-06,7.33038320844201e-05
"2410018L13Rik",201.743959947008,-0.671055130872563,0.128857016856472,-5.20403563561706,1.95006587027695e-07,3.97487294115685e-06
"2410089E03Rik",2406.79023860387,-0.186670832383333,0.0726966434815311,-2.56777412556845,0.0102353825792266,0.0317874649204436
