"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol"
"14266",1436.14539918748,-0.789000627999385,0.11436684291446,-6.89871680513835,5.24743594386508e-12,1.04789705666881e-10,"14266","Aff2"
"11622",525.069801693149,1.49376974112424,0.254930232405037,5.8677119184761,4.41850084001094e-09,5.27286287366295e-08,"11622","Ahr"
"11695",1405.82601696639,-0.798749879750064,0.188185902846588,-4.2435265673284,2.20034309607896e-05,0.000119653742996739,"11695","Alx4"
"11835",74.3410384457493,1.89585247111675,0.338701860620965,5.64916206237363,1.61231803250792e-08,1.73129879541675e-07,"11835","Ar"
"13496",1875.6398309634,-0.517116958550562,0.146422106012452,-3.53157042439198,0.000413099845197662,0.0016161577716803,"13496","Arid3a"
"56380",844.817532147391,-1.44367807647974,0.159819140760809,-9.03103200417401,1.70060342993999e-19,1.17282313290396e-17,"56380","Arid3b"
"272322",58.088007638134,1.15477806044287,0.232841504998765,4.944649352949,7.62810410115405e-07,5.74140677968841e-06,"272322","Arntl2"
"11910",336.629891485949,1.82488455297712,0.338170585778315,5.4907000472325,4.00343755736524e-08,3.93170190937221e-07,"11910","Atf3"
"12022",100.289041328643,1.40638709490182,0.164961380014854,8.49444086610861,1.98888020250527e-17,9.64254644228236e-16,"12022","Barx1"
"12023",257.97267926212,1.25843388326207,0.185151688872092,6.79181737424851,1.10729667260455e-11,2.09152119911387e-10,"12023","Barx2"
"53314",32.1360693305341,1.0320818314289,0.294280397475983,3.49698025767505,0.000470556654622987,0.00180599968846135,"53314","Batf"
"12053",144.408997348847,1.39208357039717,0.258211418402841,5.38911088950134,7.08071082864016e-08,6.6836651338989e-07,"12053","Bcl6"
"320522",90.9626502664983,-2.17582589284723,0.328878983641855,-6.56158205826496,5.32398635077704e-11,9.07372501335018e-10,"320522","Bhlha9"
"59058",17.7824765737407,1.51451728821656,0.373823960375175,4.29584919989736,1.74025857612934e-05,9.67335858952494e-05,"59058","Bhlhe22"
"20893",246.754994349787,0.959633624324952,0.25619481669578,3.74804012201169,0.000178221749871554,0.000767820725294082,"20893","Bhlhe40"
