,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Dach1,0.788974782,0.944256571,0.942194975,0.924484478,1,0.749650095,0.673570983,0.592147466,0.584906445,0.541554478,0.603308367,0.621165223,0.348750507,0.327718313,0.518880632,0.324061784,0.404021791,0.363489999,0.356924044,0.045290708,0,0.132743467,0.211801296,1,DACH
Dach2,0.609795778,0.94330505,0.921117103,0.897335259,1,0.624535991,0.590108351,0.561731432,0.482466578,0.597335675,0.739403536,0.783775366,0.264173489,0.298113267,0.426392896,0.213489416,0.359224332,0.311194815,0.197721461,0,0.101690878,0.144731966,0.31559578,1,DACH
Dmrta1,1,0.853181842,0.951628572,0.920631285,0.994886005,0.946036985,0.732911743,0.864974925,0.570117741,0.599422387,0.558789331,0.607632011,0.474047318,0.361374128,0.342080887,0.131605282,0.204988822,0.468243044,0.512636132,0.087905622,0,0.371526316,0.321020919,1,DM
Dmrta2,0.848304122,1,0.954264034,0.903365501,0.857103311,0.249742899,0.202576275,0.283352591,0.138423164,0.098637623,0.152079997,0.078875371,0.115899009,0.02298725,0.177851741,0.142584765,0.390168571,0.202232384,0.108001943,0.057577791,0.043382883,0,0.036289498,1,DM
Elf3,0.765337521,0.93109232,0.937538788,1,0.880955634,0.555042922,0.440197624,0.599661504,0.487226929,0.520720728,0.569927822,0.451524393,0.188257062,0.307446476,0.426930445,0.28904918,0.321456094,0.601429109,0.622463663,0.231103861,0,0.945260521,0.746883863,1,ETS
Etv4,0.754344073,0.947393061,0.949311063,1,0.917797277,0.314544656,0.283081662,0.363543998,0.412096659,0.415815952,0.325407366,0.311669091,0.331416316,0.279814513,0.34908738,0.306151779,0.407649883,0.289686292,0.154853124,0,0.027324671,0.192236381,0.281622569,1,ETS
Cux2,0.925961378,1,0.994032574,0.868680692,0.842746963,0.598417864,0.624106579,0.693554611,0.650301298,0.602516924,0.604668919,0.533207727,0.481409168,0.374469086,0.498258986,0.473206647,0.636564479,0.326070122,0.225042082,0,0.000531683,0.33055857,0.25154041,1,CUT
Onecut2,0.64871499,0.747338237,0.83505693,0.647629636,0.792944788,0.878469462,0.877877405,1,0.807600673,0.617312389,0.430756916,0.514614655,0.599071801,0.505848758,0.754986843,0.420023114,0.403060335,0.474772688,0.514638187,0.426906016,0.343540467,0.277288786,0,1,CUT
Aff2,0.743810293,1,0.972063258,0.853342534,0.91116451,0.439686989,0.365258028,0.494434774,0.256339412,0.39827738,0.336074405,0.356300032,0.192138604,0.101332136,0.158590317,0.226783729,0.197078174,0.254595968,0.209426985,0.24592965,0.094307189,0,0.172542072,1,AF-4
Aff3,0.83098437,0.992075063,1,0.893909059,0.938839538,0.61013534,0.554829098,0.618045668,0.394749231,0.437907149,0.467675962,0.361630635,0.173995132,0.082748888,0.134660668,0.203801869,0.332930481,0.199007351,0.379242696,0.152105497,0.0869612,0,0.071191629,1,AF-4
