TFs,E12.E11,E13.E12,E14.E13,,,,,,,,,,Gene,E12-E11,E13-12,E14-13
,,,,,,,,,,,,,4930503L19Rik,-0.60,NA,NA
,,,,,,,,,,,,,Efcab12,-0.60,NA,NA
,,,,,,,,,,,,,Pnldc1,-0.60,NA,NA
,,,,,,,,,,,,,Epha7,-0.60,NA,NA
,,,,,,,,,,,,,5033428I22Rik,-0.60,NA,NA
,,,,,,,,,,,,,Mir186,-0.60,NA,NA
,,,,,,,,,,,,,Rbfox3,-0.60,-1.27,NA
,,,,,,,,,,,,,Glb1l2,-0.60,NA,NA
,,,,,,,,,,,,,Aspg,-0.60,NA,NA
,,,,,,,,,,,,,Taf4b,-0.60,NA,NA
,,,,,,,,,,,,,Rem2,-0.60,-0.65,NA
,,,,,,,,,,,,,Map7d2,-0.60,NA,NA
,,,,,,,,,,,,,Ccnf,-0.60,NA,NA
,,,,,,,,,,,,,Ptprf,-0.60,NA,NA
,,,,,,,,,,,,,Tmod4,-0.60,NA,NA
,,,,,,,,,,,,,Trim59,-0.59,NA,-0.66
,,,,,,,,,,,,,Sdsl,-0.59,-0.97,NA
,,,,,,,,,,,,,Pask,-0.59,NA,NA
,,,,,,,,,,,,,Bora,-0.59,NA,NA
,,,,,,,,,,,,,Pdgfa,-0.59,NA,NA
,,,,,,,,,,,,,Pole,-0.59,NA,NA
,,,,,,,,,,,,,Fras1,-0.59,NA,NA
,,,,,,,,,,,,,Rdh5,-0.59,NA,NA
,,,,,,,,,,,,,Polq,-0.59,NA,NA
,,,,,,,,,,,,,Top2a,-0.59,NA,NA
,,,,,,,,,,,,,Kif2c,-0.59,NA,NA
,,,,,,,,,,,,,Zranb3,-0.59,NA,NA
,,,,,,,,,,,,,AI450353,-0.58,NA,NA
,,,,,,,,,,,,,Mutyh,-0.58,NA,NA
,,,,,,,,,,,,,E330009J07Rik,-0.58,NA,NA
,,,,,,,,,,,,,Olfr613,-0.58,NA,NA
,,,,,,,,,,,,,1600002H07Rik,-0.58,NA,NA
,,,,,,,,,,,,,Fam60a,-0.58,-0.66,-0.52
,,,,,,,,,,,,,4930451G09Rik,-0.58,NA,NA
,,,,,,,,,,,,,Slc3a1,-0.58,NA,NA
,,,,,,,,,,,,,Ttk,-0.58,NA,NA
,,,,,,,,,,,,,Hjurp,-0.58,NA,NA
,,,,,,,,,,,,,Brca1,-0.58,NA,NA
,,,,,,,,,,,,,Ccne2,-0.58,NA,NA
,,,,,,,,,,,,,Pfas,-0.58,NA,NA
,,,,,,,,,,,,,Syne2,-0.58,NA,NA
,,,,,,,,,,,,,Rpl34,-0.58,NA,NA
,,,,,,,,,,,,,BC055324,-0.57,NA,NA
,,,,,,,,,,,,,Cx3cl1,-0.57,NA,NA
,,,,,,,,,,,,,Myh15,-0.57,NA,NA
,,,,,,,,,,,,,Rragb,-0.57,-0.54,NA
,,,,,,,,,,,,,Dlec1,-0.57,NA,NA
,,,,,,,,,,,,,Bub1,-0.57,NA,NA
,,,,,,,,,,,,,Kif26b,-0.57,-0.66,-0.77
,,,,,,,,,,,,,Wdr90,-0.57,NA,NA
,,,,,,,,,,,,,Cdca7l,-0.57,NA,NA
,,,,,,,,,,,,,Mpp7,-0.57,NA,NA
,,,,,,,,,,,,,Mcm8,-0.57,NA,NA
,,,,,,,,,,,,,Scn2b,-0.57,NA,NA
,,,,,,,,,,,,,Pidd1,-0.57,NA,NA
,,,,,,,,,,,,,Snora43,-0.57,NA,NA
,,,,,,,,,,,,,Fancb,-0.56,NA,NA
,,,,,,,,,,,,,Mc4r,-0.56,NA,NA
,,,,,,,,,,,,,Thap6,-0.56,NA,NA
,,,,,,,,,,,,,Glrb,-0.56,NA,-0.56
,,,,,,,,,,,,,Fam160a1,-0.56,NA,NA
,,,,,,,,,,,,,Mtmr7,-0.56,NA,NA
,,,,,,,,,,,,,Tex9,-0.56,NA,NA
,,,,,,,,,,,,,Prom1,-0.56,NA,-0.63
,,,,,,,,,,,,,Gfpt2,-0.56,NA,NA
,,,,,,,,,,,,,Mtcl1,-0.56,NA,NA
,,,,,,,,,,,,,A430005L14Rik,-0.56,NA,NA
,,,,,,,,,,,,,Mamdc4,-0.56,NA,NA
,,,,,,,,,,,,,Tmem30b,-0.56,-0.72,NA
,,,,,,,,,,,,,Sh3bgrl2,-0.56,NA,NA
,,,,,,,,,,,,,Nmral1,-0.56,-0.59,NA
,,,,,,,,,,,,,Fam227a,-0.56,NA,NA
,,,,,,,,,,,,,Pkn3,-0.55,NA,NA
,,,,,,,,,,,,,Rab11fip4,-0.55,NA,NA
,,,,,,,,,,,,,Kntc1,-0.55,NA,NA
,,,,,,,,,,,,,Hook1,-0.55,NA,NA
,,,,,,,,,,,,,Ctbp2,-0.55,NA,NA
,,,,,,,,,,,,,Cep72,-0.55,NA,NA
,,,,,,,,,,,,,Ptbp2,-0.55,NA,NA
,,,,,,,,,,,,,Rab39b,-0.55,NA,NA
,,,,,,,,,,,,,Tmem2,-0.55,NA,NA
,,,,,,,,,,,,,Hipk2,-0.55,-0.55,NA
,,,,,,,,,,,,,Nfatc2ip,-0.55,NA,NA
,,,,,,,,,,,,,Kif27,-0.55,NA,NA
,,,,,,,,,,,,,Ercc6l,-0.55,NA,NA
,,,,,,,,,,,,,Kif15,-0.55,NA,NA
,,,,,,,,,,,,,Sesn2,-0.55,NA,NA
,,,,,,,,,,,,,Aoc2,-0.54,NA,NA
,,,,,,,,,,,,,Rhebl1,-0.54,NA,NA
,,,,,,,,,,,,,Tmem178,-0.54,NA,NA
,,,,,,,,,,,,,2810408I11Rik,-0.54,NA,NA
,,,,,,,,,,,,,Cdc25c,-0.54,NA,NA
,,,,,,,,,,,,,Gm10033,-0.54,NA,NA
,,,,,,,,,,,,,Nsl1,-0.54,NA,NA
,,,,,,,,,,,,,Phf21b,-0.54,NA,-0.68
,,,,,,,,,,,,,Ticrr,-0.54,NA,NA
,,,,,,,,,,,,,Map3k13,-0.54,NA,NA
,,,,,,,,,,,,,4933404O12Rik,-0.54,NA,NA
,,,,,,,,,,,,,Fbxo5,-0.54,NA,NA
,,,,,,,,,,,,,Orc1,-0.54,NA,NA
,,,,,,,,,,,,,Dgkk,-0.54,-0.67,NA
,,,,,,,,,,,,,Fgfrl1,-0.53,NA,NA
,,,,,,,,,,,,,Prkd1,-0.53,NA,NA
,,,,,,,,,,,,,Cdc45,-0.53,NA,NA
,,,,,,,,,,,,,Ubxn10,-0.53,NA,NA
,,,,,,,,,,,,,Fanca,-0.53,NA,NA
,,,,,,,,,,,,,Ppp1r9a,-0.53,NA,NA
,,,,,,,,,,,,,Rfwd3,-0.53,NA,NA
,,,,,,,,,,,,,Ankle1,-0.53,NA,NA
,,,,,,,,,,,,,Cxadr,-0.53,NA,-0.73
,,,,,,,,,,,,,Mir25,-0.53,NA,NA
,,,,,,,,,,,,,Bend4,-0.53,NA,NA
,,,,,,,,,,,,,Fubp1,-0.53,NA,NA
,,,,,,,,,,,,,Kif5c,-0.53,-0.55,-0.72
,,,,,,,,,,,,,Ccser1,-0.53,NA,NA
,,,,,,,,,,,,,2810417H13Rik,-0.53,NA,NA
,,,,,,,,,,,,,Dcbld1,-0.53,NA,NA
,,,,,,,,,,,,,Ell3,-0.53,NA,NA
,,,,,,,,,,,,,Ypel1,-0.53,NA,-0.61
,,,,,,,,,,,,,Rec8,-0.53,NA,NA
,,,,,,,,,,,,,Asap2,-0.53,NA,-0.65
,,,,,,,,,,,,,Brca2,-0.53,NA,NA
,,,,,,,,,,,,,Tjp2,-0.53,NA,NA
,,,,,,,,,,,,,Gm17762,-0.53,NA,NA
,,,,,,,,,,,,,Pcdhgc4,-0.52,NA,NA
,,,,,,,,,,,,,Kifc5b,-0.52,NA,NA
,,,,,,,,,,,,,Lrp8,-0.52,NA,NA
,,,,,,,,,,,,,Phf11c,-0.52,NA,NA
,,,,,,,,,,,,,Dynlt1a,-0.52,NA,NA
,,,,,,,,,,,,,Wdr31,-0.52,NA,NA
,,,,,,,,,,,,,Slc12a7,-0.52,NA,NA
,,,,,,,,,,,,,Kif24,-0.52,NA,NA
,,,,,,,,,,,,,Clspn,-0.52,NA,NA
,,,,,,,,,,,,,Depdc1b,-0.52,NA,NA
,,,,,,,,,,,,,E130012A19Rik,-0.52,NA,NA
,,,,,,,,,,,,,Haus6,-0.52,NA,NA
,,,,,,,,,,,,,Firre,-0.52,NA,NA
,,,,,,,,,,,,,Sms,-0.52,NA,NA
,,,,,,,,,,,,,Mad2l1,-0.52,NA,NA
,,,,,,,,,,,,,9430015G10Rik,-0.52,NA,NA
,,,,,,,,,,,,,Recql4,-0.52,NA,NA
,,,,,,,,,,,,,Bard1,-0.52,NA,NA
,,,,,,,,,,,,,9930012K11Rik,-0.52,NA,NA
,,,,,,,,,,,,,Ankrd10,-0.51,NA,NA
,,,,,,,,,,,,,Cenpj,-0.51,NA,NA
,,,,,,,,,,,,,Fam222a,-0.51,NA,NA
,,,,,,,,,,,,,Kif14,-0.51,NA,NA
,,,,,,,,,,,,,Kifc1,-0.51,NA,NA
,,,,,,,,,,,,,Kif18a,-0.51,NA,NA
,,,,,,,,,,,,,Cep135,-0.51,NA,NA
,,,,,,,,,,,,,Cenpe,-0.51,NA,NA
,,,,,,,,,,,,,Trp53inp1,-0.51,NA,NA
,,,,,,,,,,,,,Tmem132a,-0.51,NA,NA
,,,,,,,,,,,,,Abca4,-0.51,NA,NA
,,,,,,,,,,,,,Bend3,-0.51,NA,NA
,,,,,,,,,,,,,Chml,-0.51,NA,NA
,,,,,,,,,,,,,Med18,-0.51,NA,NA
,,,,,,,,,,,,,Cpsf6,-0.51,NA,NA
,,,,,,,,,,,,,Znrd1as,-0.51,NA,NA
,,,,,,,,,,,,,A830082N09Rik,-0.51,NA,NA
,,,,,,,,,,,,,Traip,-0.51,NA,NA
,,,,,,,,,,,,,Mapk4,-0.51,NA,NA
,,,,,,,,,,,,,Ska1,-0.51,NA,NA
,,,,,,,,,,,,,Kif20b,-0.51,NA,NA
,,,,,,,,,,,,,Pik3r3,-0.51,-0.66,-0.58
,,,,,,,,,,,,,Met,-0.51,NA,NA
,,,,,,,,,,,,,Palb2,-0.51,NA,NA
,,,,,,,,,,,,,Kctd15,-0.51,NA,NA
,,,,,,,,,,,,,Gpr63,-0.51,NA,NA
,,,,,,,,,,,,,Cecr6,-0.50,NA,NA
,,,,,,,,,,,,,Ell2,-0.50,NA,NA
,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,,,,,,,,Gm5069,-0.50,NA,NA
,,,,,,,,,,,,,Galnt7,-0.50,NA,NA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
