"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol","abslogFC"
"108899",10458.4007268585,-0.226536419250761,0.0711740871143551,-3.18284658202201,0.00145834864083092,0.00552495209825887,"108899","2700081O15Rik",0.226536419250761
"69944",820.146666058773,-0.233556444179786,0.0633175283760945,-3.6886052628711,0.000225486736024825,0.00111101167694024,"69944","2810021J22Rik",0.233556444179786
"236366",278.523504514977,-0.464686960990515,0.100382012095257,-4.62869751593026,3.67972792410584e-06,2.93677015358538e-05,"236366","5730507C01Rik",0.464686960990515
"100043133",362.78510837533,-0.290527686217298,0.0917083763493647,-3.16784395384627,0.00153573927109949,0.00575738571582269,"100043133","9130023H24Rik",0.290527686217298
"240442",1697.57628367165,-0.315740702444105,0.0516330498320598,-6.11504243931166,9.65312705042209e-10,1.63580907870638e-08,"240442","Adnp2",0.315740702444105
"11569",2823.00529796608,0.231412441487241,0.0751141721796876,3.08079598987903,0.00206448047337758,0.00744448780785395,"11569","Aebp2",0.231412441487241
"14266",1460.77346693914,-0.822019716558453,0.161660983240472,-5.08460324098033,3.68395341197155e-07,3.70925818640982e-06,"14266","Aff2",0.822019716558453
"16764",5867.83481857632,-0.360023590799509,0.133645779157865,-2.69385537883363,0.0070630804156875,0.0212012942853145,"16764","Aff3",0.360023590799509
"226747",5241.36371869242,-0.199744190920206,0.0697632861795315,-2.86316491285426,0.00419432196693062,0.0137083098101653,"226747","Ahctf1",0.199744190920206
"11622",379.984661528693,1.17229548657147,0.220276022388294,5.32075832077452,1.03335604600292e-07,1.1787764493639e-06,"11622","Ahr",1.17229548657147
"11695",1506.93115663914,-0.676625471743616,0.170800247272513,-3.96135839415084,7.45245744084479e-05,0.00042533655543303,"11695","Alx4",0.676625471743616
"11835",35.4728012521767,1.46864641447377,0.233792963213257,6.22935276503454,4.68366092391843e-10,8.50212545425441e-09,"11835","Ar",1.46864641447377
"93760",15166.3357824775,-0.369149160954452,0.0765379077984851,-4.8230828153043,1.41356244840199e-06,1.24322817336955e-05,"93760","Arid1a",0.369149160954452
"239985",5126.22169664344,-0.242889550623674,0.0978031154269508,-2.48344768504319,0.0130117445248675,0.0353204608321635,"239985","Arid1b",0.242889550623674
"77044",6669.82389157526,-0.362963211927048,0.114055167615913,-3.18233698304637,0.0014609173091816,0.00553349170295099,"77044","Arid2",0.362963211927048
"56380",957.861626188958,-1.18864519552135,0.117205183580803,-10.140098185536,3.66730791757872e-24,4.27204942186819e-22,"56380","Arid3b",1.18864519552135
"214855",195.852163473614,0.549665763915753,0.22568663240842,2.4353816546488,0.0148760899065213,0.0393881779783816,"214855","Arid5a",0.549665763915753
"11863",3563.58320377847,0.156808518676001,0.0548335941244336,2.85971515243291,0.00424021680938346,0.0138431165351163,"11863","Arnt",0.156808518676001
"272322",44.5029981647362,0.840312585347922,0.204619611359314,4.10036467229595,4.12499599645764e-05,0.000253701676845069,"272322","Arntl2",0.840312585347922
"11910",463.808574163331,2.88776029766655,0.25522644685777,11.286758938516,1.52558959901121e-29,3.28830167202537e-27,"11910","Atf3",2.88776029766655
"11911",4521.81695506977,0.395810115683746,0.0780529329596075,5.07102435723873,3.95680121207797e-07,3.95230740036636e-06,"11911","Atf4",0.395810115683746
"226641",1293.43219849206,0.250967318588611,0.0752361202948927,3.33573668559592,0.000850737009456034,0.00347283917297091,"226641","Atf6",0.250967318588611
"71093",780.366513194899,-0.452873927795547,0.0952059854472011,-4.75662461278181,1.96856740510571e-06,1.68174359668817e-05,"71093","Atoh8",0.452873927795547
"268319",126.517631659009,-0.377779984579952,0.13025359426316,-2.90012054620041,0.00373019174125608,0.0123706773621219,"268319","BC025920",0.377779984579952
"12022",90.9614163422257,1.39659710478868,0.168587042484231,8.26105912387765,1.44385542315243e-16,7.27719681755052e-15,"12022","Barx1",1.39659710478868
"12023",224.229868951977,1.1370873329714,0.203085998867022,5.59630182561398,2.18972356593965e-08,2.89385706422829e-07,"12023","Barx2",1.1370873329714
"53314",38.9241197588048,1.23161741086351,0.349523508128019,3.52535205349724,0.000422920334765361,0.00189629586758162,"53314","Batf",1.23161741086351
"116848",3841.79932768584,-0.299097493666694,0.0677540711305508,-4.41444714151913,1.01268455013115e-05,7.23228633244292e-05,"116848","Baz2a",0.299097493666694
"407823",3595.952532915,-0.386270406489026,0.0970975239321347,-3.97814224202988,6.94558188105504e-05,0.000401092532133152,"407823","Baz2b",0.386270406489026
"12053",102.157951985346,1.04327122850072,0.185845894957433,5.60734892599562,2.0544920716672e-08,2.72949513146722e-07,"12053","Bcl6",1.04327122850072
"320522",98.2636661743252,-2.5635772742847,0.336940171303257,-7.59025845554464,3.19268018143879e-14,1.12543575934886e-12,"320522","Bhlha9",2.5635772742847
"59058",7.1109554943873,1.05679259629391,0.375014257906256,2.81932594121186,0.00481246233333284,0.0154219734821142,"59058","Bhlhe22",1.05679259629391
"20893",209.860860059364,0.767905276086094,0.281384442236569,2.72882038539473,0.0063561313551708,0.0194543849899868,"20893","Bhlhe40",0.767905276086094
"79362",190.699888410469,1.4800917856421,0.219367940277335,6.74007731314976,1.58302375145794e-11,3.61628412833053e-10,"79362","Bhlhe41",1.4800917856421
"12173",518.233324292335,0.535018322761507,0.139553303498439,3.83363983825201,0.00012626096962356,0.000674835474145088,"12173","Bnc1",0.535018322761507
"242509",1583.76952942838,0.492344319984369,0.181196247272742,2.71713409983213,0.00658499213620977,0.0200086390872223,"242509","Bnc2",0.492344319984369
