"","E12.E11","E13.E12","E14.E13","EntrezID","Symbol","Family"
"15111",-1,-1,0,"15111","Hand2","bHLH"
"15208",0,1,0,"15208","Hes5","bHLH"
"15213",-1,-1,0,"15213","Hey1","bHLH"
"15214",1,0,0,"15214","Hey2","bHLH"
"56198",1,0,0,"56198","Heyl","bHLH"
"15242",0,0,1,"15242","Hhex","Homeobox"
"15248",1,0,0,"15248","Hic1","ZBTB"
"58180",-1,0,0,"58180","Hic2","ZBTB"
"53417",0,1,0,"53417","Hif3a","bHLH"
"15273",1,1,0,"15273","Hivep2","zf-C2H2"
"16656",1,0,1,"16656","Hivep3","zf-C2H2"
"217082",1,1,0,"217082","Hlf","TF_bZIP"
"15284",1,0,0,"15284","Hlx","Homeobox"
"15361",-1,0,0,"15361","Hmga1","HMGA"
"15364",0,-1,-1,"15364","Hmga2","HMGA"
"15354",-1,0,-1,"15354","Hmgb3","HMG"
"15378",1,-1,0,"15378","Hnf4a","RXR-like"
"30942",1,0,0,"30942","Hnf4g","RXR-like"
"74318",0,1,0,"74318","Hopx","Homeobox"
"15395",-1,0,0,"15395","Hoxa10","Homeobox"
"15396",-1,0,0,"15396","Hoxa11","Homeobox"
"15399",0,-1,0,"15399","Hoxa2","Homeobox"
"15400",0,-1,0,"15400","Hoxa3","Homeobox"
"15401",0,-1,0,"15401","Hoxa4","Homeobox"
"15402",0,-1,0,"15402","Hoxa5","Homeobox"
"15403",-1,-1,0,"15403","Hoxa6","Homeobox"
"15404",0,-1,0,"15404","Hoxa7","Homeobox"
"15405",-1,0,-1,"15405","Hoxa9","Homeobox"
"15412",0,-1,0,"15412","Hoxb4","Homeobox"
"15417",1,0,0,"15417","Hoxb9","Homeobox"
"209448",-1,0,0,"209448","Hoxc10","Homeobox"
"109663",-1,0,0,"109663","Hoxc11","Homeobox"
"15421",-1,0,0,"15421","Hoxc12","Homeobox"
"15422",-1,0,0,"15422","Hoxc13","Homeobox"
"15423",1,-1,0,"15423","Hoxc4","Homeobox"
"15424",1,-1,0,"15424","Hoxc5","Homeobox"
"15425",0,-1,0,"15425","Hoxc6","Homeobox"
"15426",1,0,0,"15426","Hoxc8","Homeobox"
"15429",1,0,0,"15429","Hoxd1","Homeobox"
"15430",-1,0,0,"15430","Hoxd10","Homeobox"
"15431",-1,0,-1,"15431","Hoxd11","Homeobox"
"15432",0,-1,-1,"15432","Hoxd12","Homeobox"
"15433",0,0,-1,"15433","Hoxd13","Homeobox"
"15436",-1,0,0,"15436","Hoxd4","Homeobox"
"15437",0,1,0,"15437","Hoxd8","Homeobox"
"15438",-1,0,0,"15438","Hoxd9","Homeobox"
"22778",1,0,1,"22778","Ikzf1","zf-C2H2"
"22780",1,0,0,"22780","Ikzf3","zf-C2H2"
"53626",-1,0,0,"53626","Insm1","zf-C2H2"
"16362",1,0,0,"16362","Irf1","IRF"
"16364",1,0,1,"16364","Irf4","IRF"
"27056",1,0,1,"27056","Irf5","IRF"
"54139",0,1,0,"54139","Irf6","IRF"
"54123",1,0,1,"54123","Irf7","IRF"
"15900",1,0,1,"15900","Irf8","IRF"
"16371",1,0,0,"16371","Irx1","Homeobox"
"16372",1,1,0,"16372","Irx2","Homeobox"
"50916",-1,1,0,"50916","Irx4","Homeobox"
"54352",1,1,0,"54352","Irx5","Homeobox"
"64379",0,1,0,"64379","Irx6","Homeobox"
"16392",0,-1,0,"16392","Isl1","Homeobox"
"104360",-1,0,0,"104360","Isl2","Homeobox"
"231986",1,0,0,"231986","Jazf1","zf-C2H2"
"81703",0,1,0,"81703","Jdp2","TF_bZIP"
"16476",1,-1,1,"16476","Jun","TF_bZIP"
"16477",1,0,0,"16477","Junb","TF_bZIP"
"16478",1,0,1,"16478","Jund","TF_bZIP"
"619665",1,1,0,"619665","Klf14","zf-C2H2"
"16598",1,0,1,"16598","Klf2","zf-C2H2"
"16600",1,0,1,"16600","Klf4","zf-C2H2"
"12224",0,1,0,"12224","Klf5","zf-C2H2"
"23849",1,0,1,"23849","Klf6","zf-C2H2"
"93691",1,0,0,"93691","Klf7","zf-C2H2"
"245671",1,0,0,"245671","Klf8","zf-C2H2"
"16869",-1,0,0,"16869","Lhx1","Homeobox"
"16870",0,-1,-1,"16870","Lhx2","Homeobox"
"16874",0,1,0,"16874","Lhx6","Homeobox"
"16875",1,0,0,"16875","Lhx8","Homeobox"
"16876",-1,-1,-1,"16876","Lhx9","Homeobox"
"83557",-1,0,0,"83557","Lin28a","CSD"
"380669",-1,-1,0,"380669","Lin28b","CSD"
"110648",0,0,1,"110648","Lmx1a","Homeobox"
"16917",0,0,-1,"16917","Lmx1b","Homeobox"
"17002",1,0,1,"17002","Ltf","Others"
"17095",1,0,1,"17095","Lyl1","bHLH"
"17132",1,0,1,"17132","Maf","TF_bZIP"
"16658",0,1,0,"16658","Mafb","TF_bZIP"
"17133",1,0,0,"17133","Maff","TF_bZIP"
"17135",1,0,1,"17135","Mafk","TF_bZIP"
"17193",-1,0,0,"17193","Mbd4","MBD"
"14013",-1,-1,-1,"14013","Mecom","zf-C2H2"
"17260",1,0,0,"17260","Mef2c","SRF"
"17268",0,-1,0,"17268","Meis1","Homeobox"
"17536",0,-1,0,"17536","Meis2","Homeobox"
"17537",1,0,0,"17537","Meis3","Homeobox"
"17285",1,0,0,"17285","Meox1","Homeobox"
"217653",-1,0,0,"217653","Mis18bp1","MYB"
"17342",1,0,1,"17342","Mitf","bHLH"
"210719",0,1,0,"210719","Mkx","Homeobox"
"58805",-1,0,-1,"58805","Mlxipl","bHLH"
"15285",-1,0,0,"15285","Mnx1","Homeobox"
"17681",1,0,0,"17681","Msc","bHLH"
"17701",0,0,-1,"17701","Msx1","Homeobox"
"17702",-1,0,0,"17702","Msx2","Homeobox"
"17121",0,1,0,"17121","Mxd3","bHLH"
"17863",0,0,1,"17863","Myb","MYB"
"17864",-1,0,0,"17864","Mybl1","MYB"
"17869",1,0,0,"17869","Myc","bHLH"
"18109",-1,0,-1,"18109","Mycn","bHLH"
"17877",0,-1,0,"17877","Myf5","bHLH"
"17927",1,0,0,"17927","Myod1","bHLH"
"17928",1,0,0,"17928","Myog","bHLH"
"225908",0,-1,0,"225908","Myrf","NDT80/PhoG"
"17933",1,0,0,"17933","Myt1l","zf-C2HC"
"71950",1,0,0,"71950","Nanog","Homeobox"
"17977",1,0,0,"17977","Ncoa1","bHLH"
"18018",0,1,0,"18018","Nfatc1","RHD"
"18024",0,0,1,"18024","Nfe2l2","TF_bZIP"
"18025",1,0,0,"18025","Nfe2l3","TF_bZIP"
"18027",1,0,0,"18027","Nfia","CTF/NFI"
"18028",1,1,0,"18028","Nfib","CTF/NFI"
"18029",1,1,0,"18029","Nfic","CTF/NFI"
"18032",1,1,0,"18032","Nfix","CTF/NFI"
"672284",-1,0,0,"672284","Nkx1-1","Homeobox"
"18095",-1,0,0,"18095","Nkx3-1","Homeobox"
"18143",1,1,0,"18143","Npas2","bHLH"
"27386",1,0,0,"27386","Npas3","bHLH"
"225872",1,0,0,"225872","Npas4","bHLH"
"11614",-1,0,0,"11614","Nr0b1","Miscellaneous"
"23958",-1,1,0,"23958","Nr2e3","RXR-like"
"13865",0,-1,0,"13865","Nr2f1","RXR-like"
"11819",0,0,-1,"11819","Nr2f2","RXR-like"
"14815",1,1,0,"14815","Nr3c1","ESR-like"
"110784",1,1,0,"110784","Nr3c2","ESR-like"
"15370",1,0,0,"15370","Nr4a1","NGFIB-like"
"26424",-1,1,0,"26424","Nr5a2","SF-like"
"225631",1,-1,0,"225631","Onecut2","CUT"
"23967",1,0,0,"23967","Osr1","zf-C2H2"
"107587",-1,0,0,"107587","Osr2","zf-C2H2"
"18423",-1,0,0,"18423","Otx1","TF_Otx"
"243771",1,0,0,"243771","Parp12","Others"
"56218",-1,0,0,"56218","Patz1","ZBTB"
"18505",0,1,0,"18505","Pax3","PAX"
"18508",0,1,0,"18508","Pax6","PAX"
"18509",1,0,0,"18509","Pax7","PAX"
"18511",-1,-1,0,"18511","Pax9","PAX"
"18516",-1,0,0,"18516","Pbx3","Homeobox"
"18740",1,0,0,"18740","Pitx1","Homeobox"
"18741",0,-1,0,"18741","Pitx2","Homeobox"
"18742",1,0,0,"18742","Pitx3","Homeobox"
"208076",0,-1,0,"208076","Pknox2","Homeobox"
"22634",1,1,0,"22634","Plagl1","zf-C2H2"
"56193",1,-1,1,"56193","Plek","Others"
"22038",0,-1,0,"22038","Plscr1","Others"
"18986",-1,0,0,"18986","Pou2f1","Pou"
"18987",1,0,1,"18987","Pou2f2","Pou"
"18988",0,1,0,"18988","Pou2f3","Pou"
