"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700042O10Rik",19.5714967773988,0.766713038309154,0.196519444253557,3.77578128875227,0.000159506906074667,0.0131258002298985
"2610005L07Rik",2753.91824342084,-0.32814360015776,0.072426834950354,-4.53037675496826,5.88785939707671e-06,0.00156984633326731
"2610008E11Rik",2238.78014521151,-0.374690742144756,0.0892597797461045,-4.19761067009157,2.69745846703079e-05,0.00416634721407756
"2810408A11Rik",268.980847312291,-0.469794820396185,0.138202963658767,-3.39731484657794,0.00068050621734144,0.0306679061873503
"2810442N19Rik",79.0481510922163,-0.678717090965218,0.186623015453853,-3.63724505688603,0.000275569726758664,0.0189551808001203
"3632454L22Rik",6.11088431371367,-0.712988805968209,0.193532368043435,-3.41784332898415,0.000631194292588538,0.0291991971111783
"5730559C18Rik",819.041902474141,-0.59220695519654,0.104194062314123,-5.6815294766012,1.33495500947388e-08,1.74468350853548e-05
"5830416P10Rik",19.3865637917083,0.598151820205663,0.164178075285185,3.59127202960241,0.000329067944067063,0.0208614342152963
"5930403L14Rik",1793.8651217252,-0.572130277695792,0.176862026297869,-3.25133817904361,0.00114863141887482,0.0433672173481849
"6030408B16Rik",14.8839005745917,-0.650473349482984,0.201604961784503,-3.22269200644072,0.00126992021634069,0.0456399054754572
"6820431F20Rik",14030.7835226941,-0.484625142606035,0.123322278373425,-3.93185118101354,8.42942444961147e-05,0.00850374129697414
"A530099J19Rik",50.0557561273943,0.67056957539274,0.157847955823547,4.42462335834914,9.66106869240856e-06,0.00202643897634594
"AI314180",5500.87709776033,0.153725324386886,0.0479141297062289,3.20839122792626,0.00133479788931255,0.0471480585019131
"AI846148",1546.32305560149,-0.175527123097139,0.0478230908634593,-3.67006071461193,0.000242492864864523,0.0172383003098253
"Abca12",41.0380609966399,0.677118599121756,0.193496416675315,3.37664048573606,0.000733768896386127,0.031992857528411
"Abca7",1029.48180495582,0.368438706668174,0.108515178242002,3.39505780293185,0.000686141127601021,0.0307604774522487
"Abca9",2970.53292983598,0.503568093872935,0.151755441366018,3.3132730485715,0.000922109094873272,0.037433989574689
"Acad10",157.881979469898,0.420773829919113,0.106806272415253,3.94381483264879,8.01955887029302e-05,0.00833514918523144
"Acat2",2571.93565581976,-0.307410163857566,0.082464598763646,-3.72771912941838,0.000193220539766589,0.0149218953210652
"Acp5",322.202138818224,0.530017780195826,0.163547481889559,3.23403371166578,0.00122055047507053,0.0448384532859989
"Adam15",2734.25756993561,0.376579415702624,0.106884899779555,3.52277485109131,0.00042705398127884,0.0240094840125417
"Adipor1",3692.13669971965,0.205555412369547,0.0486622541053933,4.22425675395271,2.39730620940676e-05,0.00384247476394536
"Adora3",65.5259850677193,0.775480593296264,0.197082625086498,3.80753800950321,0.000140357171410066,0.0121049154429291
"Aff1",1326.20055329535,0.36949097222844,0.114820409767067,3.21747692227161,0.001293234303865,0.0460629996282315
"Agpat2",487.504481261834,0.279884507694976,0.0638423711761457,4.38525259993645,1.15851261573087e-05,0.00225644390907288
"Akap13",4848.4490216872,0.308501396679974,0.08755336507771,3.52341968406025,0.0004260161917615,0.0240094840125417
"Aldh3b1",98.7249326097634,0.671694899119746,0.187509199755741,3.5650134041478,0.000363837593543622,0.0219870996969117
"Alox5",397.161281928238,0.757538723477752,0.201669442247649,3.65816225681862,0.0002540302140406,0.0179086030562232
"Ampd3",498.416387108108,0.773152535560442,0.15423259304142,5.00323725051647,5.6375487726124e-07,0.000281711628372602
"Anxa11",983.219398292901,0.400964335750765,0.113207857061958,3.54133529501904,0.000398107323212186,0.0233235980047415
"Ap1g2",792.265150879071,0.427440264014423,0.133498603786975,3.20045154739137,0.00137212437307157,0.0480667898937856
"Arid4a",1775.65309542175,0.172449097988529,0.0492108468840944,3.50449626439056,0.000457471986047797,0.0247530224297837
"Arpc1b",4812.30300440207,0.442829190980484,0.129410107588059,3.41996586531288,0.000626289938668618,0.0291991971111783
"Arrb1",2772.92747818202,0.23095332172078,0.053500852553973,4.31696143251798,1.58191785495251e-05,0.00281130962626285
"Arxes1",282.155350117351,-0.46649629445014,0.128346696333524,-3.63160283589256,0.000281666375240505,0.0191420468613447
"Asap2",1534.7799514168,-0.397874906663987,0.100394661410747,-3.96285535348641,7.40586557440174e-05,0.0079636491208282
"Asb4",1242.77925536053,-0.453743030723742,0.11049317263773,-4.10664951268182,4.01439651548759e-05,0.00512816517279205
"Astn1",954.973436312411,-0.601633388527801,0.181532288896317,-3.33601210293576,0.000849894636785518,0.0353914457818283
"Atpaf2",744.489489597827,0.230539338952744,0.0594095735491634,3.88106483190906,0.000104000109852335,0.00998283540333992
"B3gnt5",1224.31502654259,-0.573595391192008,0.135358727510617,-4.24064501383139,2.22878386446342e-05,0.0036410613324263
"B4galnt4",1912.52218317481,-0.462413746851592,0.103478664485374,-4.46884493348155,7.86431146457217e-06,0.00178152869044108
"Baiap3",241.839719673824,-0.582400380356864,0.179864951430196,-3.25188132244904,0.00114643879451786,0.0433672173481849
"Bbs4",551.862347876396,-0.223158658712815,0.0588956029916354,-3.78786235042648,0.000151948988059578,0.0127802638966942
"Bdnf",193.088270248031,-0.35702410274882,0.103883858447526,-3.43179056989297,0.000599610407537518,0.0283771053595054
"Bfsp2",24.1516608850449,0.743762813177203,0.200264053712625,3.67597133684233,0.000236946127701413,0.0170581131764704
"Bpifc",13.1618188692826,0.566082131158388,0.15303985557822,3.71583980790665,0.00020252987313772,0.0151567536294296
"Bst1",23.3027250128475,0.740067380673655,0.201597231043735,3.60776378654065,0.000308847473039535,0.0203228888829122
"Bzw2",3988.29887890627,-0.220889816777274,0.0523197689111283,-4.2217906673536,2.42369148914639e-05,0.00384845966360722
"C130021I20Rik",5721.19128798477,-0.394933279475676,0.114323060512974,-3.45543559942031,0.00054940442246965,0.0271348288888353
"C230072F16Rik",61.4175677477588,-0.723291670239954,0.15750872094838,-4.54294173842237,5.54745874714578e-06,0.00156560927923526
"C3",194.044217657839,0.779374951881661,0.199148321784434,3.79027383608708,0.000150481295222335,0.0127802638966942
"C330006A16Rik",1733.94880246316,0.24181995666334,0.0523928700899104,4.61584654268393,3.91496163362166e-06,0.00123176292880059
"Cadm1",1809.15841677925,-0.424062057395147,0.0999420685320286,-4.24309219896576,2.20460806392731e-05,0.00363653310739077
"Cadm4",751.232344161361,-0.352938271253305,0.107283893147609,-3.28932041328034,0.00100429623426388,0.0394976690281095
"Calb1",513.451280181433,-0.696519535510224,0.201987269575988,-3.59863288453638,0.000319894384867643,0.0207305386690305
"Calb2",31.3964485113674,-0.656216976267668,0.20052658123521,-3.27923174305388,0.00104090119552159,0.0405617231924583
"Camk1d",867.346387951027,0.390233830665509,0.098525477699678,3.96075711726586,7.47124970526514e-05,0.00798175534224843
"Camta1",599.242759558163,-0.344377804447615,0.0904050297104988,-3.80794176593425,0.000140128260178245,0.0121049154429291
"Capn1",1485.3314494693,0.495607576878026,0.0923091500179435,5.36894820873282,7.91971566530891e-08,8.40974807209989e-05
"Car14",364.97365472954,-0.820256653714411,0.182927519280318,-4.5216464076879,6.13604970335052e-06,0.00160167959558584
"Cbfa2t3",1552.7828537389,0.314931891814055,0.0861965403007688,3.65371773987084,0.000258470401776799,0.0181463310999497
"Cbln1",58.9355202702231,-0.977987001652172,0.182798931256074,-5.30146281771265,1.14878447357967e-07,0.000102725516874308
"Cbx2",2630.83727798049,-0.380386445897162,0.117306244292905,-3.24347999708729,0.00118079101450492,0.0438985543466928
"Ccnj",817.931986824353,-0.374657331901042,0.0807093381517216,-4.64058908902287,3.47417354741653e-06,0.00113511939558859
"Ccr8",88.3224638989506,0.71423829048787,0.198004953079943,3.49478886200941,0.00047443690768948,0.025116242662882
"Cd44",2566.67321158155,0.548008420718742,0.110693552560523,4.9492724697808,7.44914036592371e-07,0.000342056472478497
"Cd53",702.341164404005,0.649272801489689,0.196283331221152,3.27036880940143,0.00107407349420939,0.0416415811002937
"Cd55",371.438267278233,0.654963905118437,0.174262145299821,3.74344623240369,0.000181513457558872,0.0143437843903499
"Cd74",168.910737333541,0.700251290757154,0.20040780980676,3.4415874450102,0.000578311517471627,0.0281363717362029
"Cdc25c",859.294839017586,-0.207615526618959,0.0613618918568711,-3.38287692725597,0.00071730769616115,0.0316648238874579
"Cdh2",3637.37846687731,-0.43237248922621,0.122324070991807,-3.5360870522856,0.000406100850044138,0.0235886226835862
"Cds1",184.322854539925,0.550713364757418,0.162708552332834,3.37945346578421,0.000726301016733572,0.0318037481296479
"Cdsn",6.07737417807858,0.530203512940097,0.151757415370786,3.42614239983576,0.000612219324484566,0.0287337191242895
"Cebpa",859.023201755809,0.657707973303504,0.141962206722364,4.6279311541116,3.69336745200784e-06,0.0011839681699927
"Cebpb",1029.57354560654,0.576828982567482,0.109463186049171,5.26907603726118,1.37112163211e-07,0.000116476782647744
"Cep78",997.370596117866,-0.308589866636028,0.0702361774653192,-4.39269655203697,1.11953337293619e-05,0.00225644390907288
"Cfb",99.2769031639702,0.827550028582979,0.167402402627896,4.93636320866536,7.95928172738268e-07,0.000355863675126925
"Cflar",2365.31186757439,0.286270410361199,0.0677327121510479,4.22658940707126,2.37260025889314e-05,0.00383909318081851
"Chek1",1261.29244464724,-0.25180146997985,0.0666555731850733,-3.77717428923876,0.000158617736401101,0.0131258002298985
"Chic1",395.111120639796,-0.344407481785824,0.108187633674301,-3.18147194598693,0.0014652871355273,0.0492897438499732
"Chst12",968.50134350698,0.246830825563947,0.0475569958307755,5.19093519713118,2.0924044647317e-07,0.000155905767603336
"Ckm",58.5768844802216,0.832039471598,0.1980997603635,4.06735541959631,4.7549691624845e-05,0.00589685591756289
"Clca3a2",3.11703609033797,0.538775477350858,0.159515075692637,3.18357973513932,0.00145466043388747,0.0491345542181873
"Clec4a3",134.622304625719,0.724908953857907,0.193518177001239,3.71185412650365,0.000205746557202775,0.0152647773225989
"Cln6",1423.60176212747,0.26015939882352,0.0627744653157549,4.1447261661699,3.40220023881148e-05,0.00467697276576013
"Cma1",2134.31785681788,0.59802085080536,0.157311824279006,3.8521492120584,0.000117085637614937,0.0106950805541816
"Cma2",15.0424279884889,0.814532006472185,0.189264934534073,4.17309207661556,3.00493429675736e-05,0.00429023812621073
"Cnr2",116.313728120731,0.688388549823355,0.195523633264954,3.48640170003432,0.000489565268775439,0.0251290450649387
"Cntn2",101.051338039958,-0.945952716001036,0.154355486903487,-6.07526395768337,1.23783936525402e-09,4.20617816313315e-06
"Col25a1",1724.6186922361,-0.488837443935312,0.111946275384195,-4.36719723994173,1.25851069386679e-05,0.00234968095481282
"Coq2",859.351951852491,0.281708436852174,0.0877608720837131,3.21017623936132,0.00132653611856445,0.0469538513633542
"Coro2a",569.002448577545,0.558690779826737,0.16650424452155,3.34699797735836,0.000816918064344821,0.034525964958255
"Coro7",1821.14051790732,0.416114627266721,0.105780897158002,3.93327174052079,8.37974127581226e-05,0.00850374129697414
"Cpa3",6890.11603059183,0.653233664684777,0.186594679359836,3.36702085077766,0.000759849429984403,0.0327660959782614
"Crmp1",603.198664211661,-0.629662391827708,0.122214399293243,-5.15084298545237,2.59318224599254e-07,0.000176232665437653
"Csf2rb",1031.63717184103,0.860992146573907,0.194495216365807,4.36985536856622,1.24328855684467e-05,0.00234705250897678
"Csf2rb2",230.273749109126,0.870915516054478,0.183231739610632,4.72045300382618,2.3531997526668e-06,0.000850656676549126
"Csrp3",34.938274496305,0.792041689334118,0.191389290663667,4.12798388672382,3.65957751802528e-05,0.00489576551427161
