"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol","abslogFC"
"16764",2821.18473794232,-0.610218907968786,0.152878381708985,-3.98876850571469,6.64171966928869e-05,0.000998922669834683,"16764","Aff3",0.610218907968786
"11622",661.837758286458,0.954244895331596,0.184107448648966,5.18960499973742,2.10740643750863e-07,7.65052397616769e-06,"11622","Ahr",0.954244895331596
"11835",168.537490667793,1.96520477237963,0.217587466846412,9.07741785227304,1.11181086875099e-19,3.65633174327286e-17,"11835","Ar",1.96520477237963
"56380",340.223783898106,-0.686415434456436,0.168824249554659,-4.06485647747081,4.80620282844121e-05,0.000768442648604537,"56380","Arid3b",0.686415434456436
"11910",360.088107053487,-1.13482747711095,0.225078648113247,-5.00762619733673,5.51054211245268e-07,1.73401148799355e-05,"11910","Atf3",1.13482747711095
"58208",1677.2459867714,0.585120642353806,0.145218007548816,4.03058563874206,5.56380524495281e-05,0.000866445139910386,"58208","Bcl11b",0.585120642353806
"12053",309.927826938517,1.04811223339933,0.237341981736499,4.4997474354652,6.80342469151672e-06,0.000153369675975966,"12053","Bcl6",1.04811223339933
"12029",346.830777641276,0.680108032002634,0.188739378212267,3.60655546017424,0.000310288564257369,0.00363421418642185,"12029","Bcl6b",0.680108032002634
"59058",45.8545413865685,1.45728542189672,0.265149602773655,5.95945186703317,2.53085391284054e-09,1.44165554451092e-07,"59058","Bhlhe22",1.45728542189672
"12173",287.733807723938,-0.875297346793091,0.185798665251672,-4.70146590144563,2.58300402828514e-06,6.54413044749219e-05,"12173","Bnc1",0.875297346793091
"69743",753.05937016522,1.16644748568591,0.21907996016287,5.36125174386567,8.26472456171143e-08,3.39745000855451e-06,"69743","Casz1",1.16644748568591
"26427",2067.22778922387,1.14461035760588,0.19094790407379,6.01611440088899,1.78653337959089e-09,1.04403267743897e-07,"26427","Creb3l1",1.14461035760588
"223843",250.905649746964,1.24189825019025,0.207034235635168,6.02090074039555,1.73449105401681e-09,1.02073277045509e-07,"223843","Dbx2",1.24189825019025
"13393",154.164589535219,0.920296487847438,0.236193582102833,3.92884613877132,8.53544266042142e-05,0.00123094037721849,"13393","Dlx3",0.920296487847438
"13394",9.53316453336916,0.801391681037335,0.2651594637707,3.1604868071466,0.00157505737824243,0.0132687354936048,"13394","Dlx4",0.801391681037335
"226049",622.782245263136,0.612263922518603,0.216203998622574,2.84550555505404,0.00443409860354395,0.0302066213560679,"226049","Dmrt2",0.612263922518603
"242523",51.0382742247774,-0.719937145086263,0.251521734832416,-2.83680972185844,0.00455667589887377,0.0309035859991552,"242523","Dmrta1",0.719937145086263
"228598",555.201309990537,0.572595277949846,0.128341039479569,4.46079367063637,8.16566785942174e-06,0.000176715588823511,"228598","Ebf4",0.572595277949846
