"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","Family"
"Sox10",0.200173192,0,0.009452582,0.079859754,0.130020539,0.076355183,0.253959854,0.215819119,1,0.837435662,0.586533662,0.611511935,0.847867843,0.95089277,0.738965054,0.825461329,0.459124611,0.729102096,0.576833593,0.701535718,0.843662856,0.529177429,0.53945486,"HMG"
"Sox2",0.40574991,0.077509021,0,0.226980728,0.269245918,0.248412493,0.466331349,0.155446473,0.731194729,0.769729564,0.65261951,0.498078537,0.69224444,0.887271713,0.699320963,0.767150045,0.534849192,0.540035172,0.5262712,0.611857727,0.663891536,1,0.964713825,"HMG"
"Tox2",0,0.18531382,0.06119356,0.167781389,0.04808223,0.210414068,0.310544154,0.552312067,0.561572595,0.663225447,0.398855393,0.581410791,0.667969916,0.692893274,0.490419228,0.825080424,0.980101288,0.811351902,0.78147321,0.925458832,1,0.265060025,0.405148105,"HMG"
"Barx1",0.242877491,0.399366367,0.389082108,0,0.208300385,0.583413046,0.672648127,0.591719568,0.828003057,0.605492384,0.934396811,0.612806712,0.324534114,0.21767242,0.147889313,0.462993543,1,0.683122467,0.782726572,0.448491581,0.463433812,0.540901013,0.882062709,"Homeobox"
"Dbx1",0.394482075,0.201739981,0.22544231,0,0.021412541,0.680899787,0.814419425,0.824537274,0.954047743,0.796919325,0.773647212,0.776739742,0.705972952,0.887578765,0.816624065,0.942973891,0.697852702,0.655387998,0.837818876,0.985812469,1,0.452466948,0.766461615,"Homeobox"
"Dbx2",0.176412551,0.133227516,0.147094195,0.059622273,0,0.392109417,0.399577916,0.368704827,0.596061742,0.869991645,1,0.937042489,0.845812207,0.739963283,0.941697417,0.773082068,0.836112137,0.780073675,0.610208136,0.629484287,0.398547072,0.656135779,0.792411341,"Homeobox"
"Hoxb9",0.373817352,0.078210877,0,0.106543313,0.097289505,0.265823613,0.403536649,0.35719874,1,0.841225971,0.476911416,0.508653839,0.889734459,0.921610859,0.75494223,0.769082013,0.660413992,0.700480992,0.554291537,0.53776684,0.751225348,0.385390446,0.434412485,"Homeobox"
"Hoxc8",0.133028472,0.135804942,0.082210043,0.218202802,0.188972618,0.525463931,0.878830124,0.638727377,0.416890392,0.620952366,0,0.203002209,0.511248048,0.369915759,0.245306501,0.879426045,1,0.686419462,0.221900258,0.855878266,0.96231227,0.608056926,0.250109185,"Homeobox"
"Hoxd1",0.164755794,0.246151186,0.199273445,0,0.208316785,0.426480688,0.650106172,0.685832189,0.539896205,0.61694856,0.398691314,0.520019438,0.813898698,0.79462737,0.700283288,0.868527817,0.97574718,0.836172787,0.710213959,0.901059419,1,0.596702738,0.570522879,"Homeobox"
"Irx1",0.327766311,0.208353985,0.207908492,0.026322545,0,0.703448778,0.702017272,0.757918284,0.767833602,0.795310233,0.760190815,0.718532249,1,0.913086689,0.831701967,0.910989659,0.983867961,0.924565405,0.809863946,0.858880333,0.867694017,0.937684682,0.890062822,"Homeobox"
"Irx2",0,0.322180825,0.212817811,0.19393894,0.272702795,0.322324248,0.414425916,0.47013385,0.44160912,0.85913641,0.645277317,0.639734703,0.974334633,0.876433729,0.766537247,0.856538883,1,0.822028396,0.514245793,0.719883445,0.776661848,0.932006243,0.921983085,"Homeobox"
"Irx5",0.136860023,0.510485893,0.536108365,0,0.316478608,0.231115323,0.330564759,0.486539315,0.230238268,0.628228219,0.362550364,0.269356098,0.904769055,0.70170978,0.593957411,0.72265586,1,0.76045897,0.095775169,0.561835924,0.476022772,0.64833056,0.643578716,"Homeobox"
"Meis3",0.156156972,0.136939428,0.191841551,0.013678163,0,0.07387422,0.353088466,0.325046385,0.321425637,0.515318846,0.035457443,0.048218716,0.773814162,0.66794793,0.370025211,0.758974055,0.982633484,0.601216031,0.43293622,0.742561004,1,0.42250338,0.5835218,"Homeobox"
"Pitx1",0.753425411,0.130873776,0.160031787,0.098731555,0,0.526507427,0.832877136,1,0.881048995,0.451581494,0.438469497,0.459956964,0.353495095,0.537307681,0.545598368,0.732515387,0.715618234,0.47257215,0.782226186,0.585291096,0.809500062,0.042662429,0.254746334,"Homeobox"
"Ahr",0,0.150298541,0.131696257,0.184802085,0.222484797,0.148857466,0.273686728,0.154183744,0.541454965,0.818002879,0.630199816,0.683844451,0.836683459,0.895559713,0.840062309,0.83116348,0.77675551,0.808857579,0.578282843,0.796877497,0.937369371,1,0.981890344,"bHLH"
"Arntl2",0.21131597,0.526578167,0.362008422,0.488425134,0.671014726,0.644131724,0.510933718,0.452097897,0.641684448,0.973580409,0.888053793,0.99311697,0.783672817,0.993177708,0.576113483,0.515716379,0.690742988,0.433847346,0.601246252,0.491974409,0,1,0.925339893,"bHLH"
"Bhlhe22",0,0.054159139,0.11907977,0.06222338,0.15616493,0.000192968,0.305977514,0.216454236,0.059348566,0.647743377,0.510024115,0.542573685,1,0.94544641,0.730841795,0.772550147,0.798342185,0.756119431,0.319135947,0.726412506,0.675983857,0.846111825,0.642557259,"bHLH"
"Bhlhe40",0,0.351582899,0.163918625,0.442891889,0.313214879,0.014700692,0.205272584,0.802793862,0.151331837,0.630007959,0.552541893,0.507614565,0.67534896,0.606801436,0.664717805,0.44630711,0.593553544,0.622246301,0.441082381,0.406695878,0.417773374,0.925908801,1,"bHLH"
"Hey2",0.330259388,0.2029821,0.337389735,0.348515985,0,0.677946149,0.700536484,0.521031944,0.504843611,0.819946723,0.571877982,0.589598021,0.981035073,0.976147069,0.885182142,0.924942242,1,0.881711604,0.27834564,0.579782804,0.783068416,0.855497329,0.809741866,"bHLH"
"Heyl",0.321404748,0.139361654,0.050574961,0.115333714,0,0.219245443,0.42253477,0.347655579,0.831407093,0.757915069,0.55923121,0.629776911,0.795664081,0.990515938,0.71085661,1,0.760029453,0.806689603,0.637867873,0.888427906,0.921335723,0.628740673,0.634341673,"bHLH"
"Hif3a",0.347051908,0.483424259,0.447281137,0.267959683,0.461955831,0,0.016914571,0.279983979,0.122654223,0.509985307,0.272764409,0.317198379,0.801971152,0.499849546,0.268038171,0.860497079,0.849930774,0.829428828,0.094736827,0.65489306,0.808725829,1,0.946955267,"bHLH"
"Msc",0.871048029,0.536305924,0.493786977,0,0.047331093,0.602225911,0.799854973,0.775024592,0.869626479,0.663529496,0.65600081,0.630199663,0.472280715,0.843027433,0.619511413,0.941643735,0.504382374,0.525487249,0.975102,0.950790933,1,0.174410597,0.524849188,"bHLH"
"Myc",0.615688156,0.202515217,0.292168482,0.004161626,0.243268609,0,0.200739558,0.269374468,0.699734916,0.611317843,0.625067601,0.533175399,0.74129491,0.68852053,0.735752425,0.735836868,0.81942087,0.663150529,0.936431662,0.754451239,1,0.826959131,0.74561978,"bHLH"
"Myog",0.625867946,0.43426906,0.438593814,0.153950692,0.136840366,0.51906215,0.655406753,0.51683257,0.442835996,0,0.359511842,0.597417661,0.610371193,0.848741211,0.479915068,0.944693953,0.48365735,0.77441428,0.716588572,0.920799001,1,0.316876093,0.463059133,"bHLH"
"Ncoa1",0.469732343,0.471096887,0.376879936,0,0.160716654,0.351472225,0.44569187,0.448938258,0.170404557,0.578322337,0.278575694,0.438781191,0.991442568,0.801506492,0.44581592,1,0.891603905,0.700978607,0.2970921,0.791580411,0.84935801,0.809825708,0.701657677,"bHLH"
"Npas2",0,0.043197799,0.075147995,0.092723606,0.063952738,0.167524909,0.53283048,0.302077238,0.29997599,0.728168205,0.663338821,0.581219766,0.946289369,0.859611266,0.684319056,0.936002235,0.975083518,0.884706947,0.35420153,0.798998606,0.757220685,0.969801817,1,"bHLH"
"Npas3",0.158188618,0.208220564,0.226723792,0.010634406,0.101636027,0.318518394,0.3470847,0.329126594,0.053420849,0.352042916,0.198629563,0.228365969,0.513217428,0.522662206,0.386244472,0.749431309,0.814004405,0.588298225,0.116867227,0.753535504,1,0,0.113219143,"bHLH"
"Tcf24",0.195502318,0,0.070634294,0.045266133,0.053450048,0.437604517,0.426026592,0.506205518,0.460830294,0.491158059,0.54997658,0.635344622,0.57317274,0.678474304,0.848615275,0.693515154,0.577349649,0.547078243,0.778448769,0.865310204,1,0.513318887,0.464795655,"bHLH"
"Twist2",0.055680246,0.235501641,0.244026488,0.065546643,0,0.138491181,0.270569876,0.334555334,0.109704474,0.506442641,0.271880132,0.190866549,1,0.805590883,0.641883633,0.751385922,0.911460211,0.830508994,0.174774861,0.711237094,0.746192274,0.906585562,0.790366808,"bHLH"
"Creb3l1",0.110595058,0.097258701,0.124110774,0,0.020909781,0.436368572,0.546922607,0.513132916,0.445674213,0.739065949,0.610698066,0.625165272,0.897565433,0.858197772,0.762731397,0.90741827,1,0.891724334,0.623531649,0.921130234,0.981749343,0.893173727,0.887765969,"TF_bZIP"
"Fos",0,0.330697072,0.400934979,0.278497027,0.274206802,0.924445562,0.951663028,0.924945267,0.518456512,0.4373767,0.741649122,0.631839256,0.882198081,0.525943331,0.648520622,0.486395892,0.300035171,0.439296571,1,0.541001074,0.635810813,0.911549566,0.719482615,"TF_bZIP"
"Hlf",0.082697497,0.171697943,0,0.082041828,0.157035308,0.3707045,0.471540935,0.352672733,0.43859816,0.710564196,0.455630474,0.613420511,1,0.89527186,0.746227565,0.793518456,0.853880133,0.789080225,0.508813081,0.700661695,0.786082614,0.993717693,0.886286548,"TF_bZIP"
"Jdp2",0,0.396111319,0.408241269,0.274039391,0.678088649,0.10058308,0.117858231,0.100039547,0.323990189,0.574115381,1,0.817760047,0.655544707,0.636477752,0.642610519,0.535183761,0.740428329,0.594146704,0.530592943,0.613944293,0.668742267,0.818545046,0.977539675,"TF_bZIP"
"Junb",0,0.200588101,0.30343638,0.253007284,0.16106066,0.770529228,0.91795296,0.713447652,0.612223778,0.328200154,0.800632679,0.617592415,0.871419959,0.588047917,0.625297394,0.544054216,0.436899417,0.655053999,0.862425505,0.555881066,0.57549873,1,0.800795994,"TF_bZIP"
"Nfe2l3",0.145143109,0.135914504,0.068643509,0.210461774,0,0.563481302,0.496131054,0.622941819,0.452518698,0.650987057,0.482277125,0.424154719,0.890799698,0.84585428,0.814143964,0.743431959,1,0.804674444,0.557976311,0.415740896,0.340677203,0.717468278,0.485478067,"TF_bZIP"
"Bcl6",0,0.188985024,0.278726805,0.085950965,0.133440395,0.209648812,0.256259207,0.168218174,0.308870565,0.730519851,0.594936522,0.563019468,0.819045,0.816648434,0.659890176,0.77844107,0.894516396,0.778202913,0.455149691,0.806102439,1,0.888817828,0.926745749,"ZBTB"
"Hic1",0.327826929,0.237071614,0.302308917,0,0.062982336,0.599788454,0.742919578,0.77484254,0.512692919,0.683724467,0.440866587,0.327822946,0.592142709,0.474976059,0.384824309,0.813926591,1,0.772342475,0.595618289,0.803165105,0.801232309,0.242057884,0.290111821,"ZBTB"
"Zbtb4",0.129310019,0.302348453,0.30744443,0.127074474,0.194542308,0,0.144763278,0.198211031,0.101954579,0.638155249,0.414199417,0.386989678,0.862141655,0.763346179,0.623673766,0.739012183,0.924103863,0.718584763,0.351479347,0.609674864,0.891222179,1,0.984178376,"ZBTB"
"Zbtb7c",0,0.274072295,0.267521325,0.36751249,0.342259961,0.427528124,0.796193306,0.637866652,0.433047405,0.73537034,0.944234122,0.807591961,0.650422738,0.845602874,0.747262004,0.691485409,0.859088646,0.792733121,0.523365389,0.535241436,0.71040527,1,0.911617402,"ZBTB"
"Egr1",0,0.333699774,0.383742883,0.230144251,0.212615556,0.97141141,1,0.896090643,0.491344289,0.519675877,0.598338647,0.599782564,0.769459495,0.5742971,0.545241961,0.53107384,0.357895897,0.499134042,0.767869956,0.496863991,0.398630983,0.590782892,0.39579904,"zf-C2H2"
"Egr2",0.136092952,0.186019953,0.162283415,0.081547411,0,0.69370756,0.959480338,0.75464771,0.502847519,0.424469582,0.561672122,0.500320156,0.951841526,0.892298648,0.693881252,0.783303835,0.511471177,0.611106031,1,0.956750564,0.858594641,0.649035107,0.533825699,"zf-C2H2"
"Egr3",0.102017195,0.041362453,0.092653528,0.20514422,0,0.71748547,1,0.828331451,0.558892316,0.685238425,0.409286801,0.650966463,0.954087317,0.92701824,0.66800514,0.868514451,0.715748051,0.711981435,0.905539422,0.918813084,0.725904902,0.739349974,0.645032433,"zf-C2H2"
"Hivep2",0.166977122,0.178284503,0.185025704,0,0.016051683,0.203781069,0.310211136,0.381959992,0.319671131,0.716316994,0.480833188,0.559063294,0.76184488,0.661522194,0.472425251,1,0.890394569,0.780784939,0.575510306,0.915035922,0.977594434,0.734396265,0.790708424,"zf-C2H2"
"Hivep3",0.0930647,0.050636194,0,0.176583467,0.258373333,0.122879065,0.208077437,0.289786414,0.510939222,0.495979863,0.502522887,0.576527185,0.735225855,0.717105155,0.570214104,0.766636163,0.719968453,0.540457121,0.740193614,0.930953401,1,0.796015054,0.703062656,"zf-C2H2"
"Jazf1",0.071218516,0.217543604,0.142384151,0,0.101763294,0.41681751,0.471816048,0.388442649,0.27129623,0.824922027,0.54462305,0.655091545,0.942650319,0.790633976,0.687040988,0.82426199,1,0.791612474,0.425218077,0.788568915,0.822411833,0.650207405,0.610868342,"zf-C2H2"
"Klf14",0,0.150028199,0.189742716,0.140184285,0.273295993,0.280480051,0.324191043,0.359549763,0.425787469,0.730920689,0.593529242,0.578088461,0.691748661,0.629723246,0.526014015,0.797329787,0.919368843,0.820003001,0.549412466,0.826836793,1,0.594760019,0.616928228,"zf-C2H2"
"Klf4",0.033719683,0.153780488,0.202692383,0.005047404,0,0.282803902,0.676095139,0.570364119,0.04071172,0.419492804,0.469412006,0.357852493,0.664773846,0.444103049,0.325325627,0.643266423,1,0.697603776,0.523328708,0.636585858,0.990895865,0.959135133,0.984651016,"zf-C2H2"
"Klf6",0.101926681,0,0.06808198,0.038524811,0.003391952,0.625200849,0.827234894,0.616794703,0.489176621,0.512425665,0.41880192,0.521496289,0.876481421,0.769983459,0.699920718,0.772156077,0.751709397,0.722327347,1,0.856613361,0.976857902,0.936169752,0.677023414,"zf-C2H2"
