"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol"
"72128",2271.44459787443,-0.586381163223203,0.133291298592559,-4.39938873727993,1.08556216620382e-05,0.000324571934658987,"72128","2610008E11Rik"
"108899",10407.7594503559,-0.240729814623583,0.090475598984964,-2.6607229805972,0.00779730792425452,0.0407265311592606,"108899","2700081O15Rik"
"69944",679.364274621032,-0.281427476874294,0.0967984162247497,-2.90720061287647,0.00364679240155846,0.0238635664487855,"69944","2810021J22Rik"
"236366",191.553000551477,-0.424304593130847,0.13680381010682,-3.10030147819026,0.00193323759723247,0.015219234303551,"236366","5730507C01Rik"
"101835",205.821609019026,-0.510096168387285,0.186164222718641,-2.73940108778064,0.00615512325963929,0.0345466432775833,"101835","AW146154"
"17355",1311.34187281636,0.392347509079456,0.0923561198600268,4.24832404813091,2.15375707451068e-05,0.000543450177428194,"17355","Aff1"
"16764",3041.11209903223,-0.570915144266307,0.173266303101111,-3.2957434290792,0.000981616191278052,0.00930510332025303,"16764","Aff3"
"11622",1406.9865428876,0.338237606234305,0.12801632529292,2.64208796047104,0.00823966538984527,0.0423528988437116,"11622","Ahr"
"100182",1519.33579453298,0.336474064243663,0.0660911381872263,5.09118821802882,3.55826591614158e-07,2.65516586161317e-05,"100182","Akna"
"13496",1933.88912761053,0.576658374516857,0.126555029157268,4.55645261916421,5.20247677261353e-06,0.000190042775997081,"13496","Arid3a"
"238247",1760.44556418095,0.141834936523359,0.0536918016156481,2.64169082332787,0.00824933222119117,0.0423544255370538,"238247","Arid4a"
"214855",345.826359512539,0.616691257099109,0.167670595585278,3.67770965028189,0.000235337626442159,0.0032563083705916,"214855","Arid5a"
"11864",2954.49343691649,-0.629318665081857,0.183959304044382,-3.42210717861671,0.000621378141666214,0.00669745909360108,"11864","Arnt2"
"17173",36.9351829118566,0.976464872878006,0.267134459381573,3.64906651952041,0.000263194952289398,0.00354602396753486,"17173","Ascl2"
"11909",2764.93787613177,-0.309495954668365,0.107588275539356,-2.87667485000187,0.00401889472262204,0.0254992444591946,"11909","Atf2"
"107503",2058.70678537744,0.785726463563991,0.224444607039144,3.49699957338,0.000470522584760858,0.00542329948919305,"107503","Atf5"
"12014",1305.56970645689,-0.447365854853359,0.139907243619573,-3.19762788469051,0.00138562956655327,0.0119184620007816,"12014","Bach2"
"53314",106.986338781083,1.40749010355828,0.25248336294437,5.55964497534279,2.70323968933656e-08,4.214398947813e-06,"53314","Batf"
"12053",435.543030164798,0.473673182661748,0.127309156019302,3.72082972099371,0.000198569298937573,0.00288214341541892,"12053","Bcl6"
"12029",555.847379595912,-0.584418333220163,0.213548888136409,-2.73784437422914,0.00618433335124719,0.0346443725983782,"12029","Bcl6b"
"320522",11.9718491641638,-1.05203008147212,0.351292873286272,-3.20127944713113,0.00136818771953803,0.011803323009315,"320522","Bhlha9"
"140489",2.24550696681611,-1.00033425586934,0.332483067821035,-3.39930432436128,0.000675575010120471,0.00708481396499312,"140489","Bhlhe23"
"79362",347.137016737149,0.666593057332719,0.179364176325299,3.71579234305002,0.000202567900613718,0.00291973368442986,"79362","Bhlhe41"
"100072",630.472570124256,-0.55670614310005,0.119415015322617,-4.661329384538,3.14173451114604e-06,0.000128172491353086,"100072","Camta1"
"216874",1820.6149936661,0.234165919655132,0.068884318345206,3.39945649140052,0.00067519921307777,0.00708481396499312,"216874","Camta2"
"12606",920.96259922886,1.111566314002,0.178942213194516,6.20887037433143,5.33668190465644e-10,3.00592912055504e-07,"12606","Cebpa"
"12609",368.358541107146,0.989697741428197,0.263573484587426,3.74424207523707,0.000180939140583019,0.00268654620214294,"12609","Cebpd"
"12913",1048.51020025139,0.588831777291877,0.200397780565168,2.93697863634977,0.00331426934709794,0.0222835799267143,"12913","Creb3"
"26427",4693.0443668885,0.649545376209778,0.241595091970913,2.68508232122743,0.00725119437722942,0.0386841139690812,"26427","Creb3l1"
"233490",4263.2846162742,-0.370155062439673,0.141896206793521,-2.60877076683762,0.00908680911428709,0.0451907644387829,"233490","Crebzf"
"215418",532.080743905066,0.865648477464697,0.235323871383771,3.67327980789521,0.000239457025971653,0.0033000466696851,"215418","Csrnp1"
"207785",1227.49818716621,-0.387322294530327,0.121163428129018,-3.19662475923911,0.00139045681454354,0.011954094750736,"207785","Csrnp2"
"13048",413.520909078702,-1.03663860583748,0.215769764442979,-4.80677140652703,1.53387204125254e-06,7.56918940528084e-05,"13048","Cux2"
"13134",1252.06309444036,-1.2459379212041,0.27746373642178,-4.51803311283043,6.24167248721935e-06,0.000215796929783699,"13134","Dach1"
"93837",93.4942237667575,-0.927578554306874,0.285437461401789,-3.25871909060059,0.00111916423751201,0.0102366300425339,"93837","Dach2"
"223843",414.885726822573,-0.929599365411567,0.249303133963956,-3.73555551533643,0.000187301251639007,0.00276455380800398,"223843","Dbx2"
"13198",358.687270482401,0.413286999980289,0.118974364900339,3.47397679223585,0.000512805385555717,0.0058256960554251,"13198","Ddit3"
"13390",148.227636467828,-0.852730482213209,0.222056192132515,-3.8387910948865,0.00012364156976342,0.0019934491686418,"13390","Dlx1"
"13392",106.095784308336,-0.772183655845399,0.280483635474273,-2.75891423732859,0.00579937526116368,0.0332009480115341,"13392","Dlx2"
