"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1110004F10Rik",3417.65812682555,-0.183015725644314,0.0658248350505876,-2.7803609712511,0.00542985044198056,0.0227423616115841
"1110008L16Rik",511.246194647986,-0.302812219634582,0.0617514546383489,-4.90417625187762,9.38202204893207e-07,1.58560619082899e-05
"1110020A21Rik",14.6585128623868,-0.681763405648582,0.230106313638636,-2.97025177446871,0.00297555768455199,0.0141207965417248
"1110032A03Rik",195.980679812956,-0.359857692480301,0.0946171662655597,-3.80427337712808,0.000142221047059141,0.00115263694048386
"1110032F04Rik",105.838442836724,0.691776328057203,0.199042861791177,3.47108371637152,0.00051836236585151,0.00334506007351879
"1110051M20Rik",813.033944939273,-0.31074642644929,0.0691716662495954,-4.49267719567537,7.03333540497847e-06,9.00246735612104e-05
"1200014J11Rik",2280.67507622756,-0.227111235082996,0.0578657587928494,-3.92485543196425,8.67818390257131e-05,0.000758118662336338
"1300017J02Rik",10.3961476041913,-0.768702307935884,0.297903505865708,-2.56977240988263,0.010176534701135,0.0372483949830329
"1500015O10Rik",74.8717942539981,3.1568450694049,0.22409407722288,12.7997215820622,1.64540087950586e-37,4.19107109736993e-34
"1600002H07Rik",803.220701354098,-0.173376861679532,0.0640842246805065,-2.70557042534708,0.00681871882646211,0.027277935085443
"1600012H06Rik",891.871409647491,0.251316168264151,0.0690138398821754,3.64129356558394,0.000271271595578018,0.00195741503405749
"1700010I14Rik",56.7926943605305,-0.541897998961451,0.208904231580396,-2.59545532305569,0.00944656832835595,0.0351339827481407
"1700018A04Rik",10.4093231145591,2.23720131730516,0.303055933375371,5.33471117950398,9.56967554117827e-08,2.18472874390792e-06
"1700019B03Rik",1.71860205278806,-0.758055843482087,0.298130305947765,-2.47717976577875,0.0132425184876545,0.0457231031438573
"1700025G04Rik",2555.07720809739,0.396363249645738,0.0738969653166442,5.36353360556301,8.16094599555093e-08,1.91306078169768e-06
"1700052K11Rik",433.03675447783,-0.259162376521789,0.0735577192259711,-3.5235802376343,0.000425758164399604,0.0028378572228953
"1700086L19Rik",17.4238397402421,-0.806559147558491,0.26926560303226,-2.98513454048697,0.00283453621340163,0.013582311390742
"1700092M07Rik",20.1199677585119,0.613223418946834,0.245679968945587,2.47893063350283,0.0131776931004736,0.0455257252434498
"1700096K18Rik",55.9512861759384,-0.441270928673183,0.168811553146614,-2.61650363321663,0.00888354189219438,0.0335011742677297
"1700102P08Rik",39.4426582262178,0.552996161771783,0.18715910320462,2.94363757553164,0.00324379615648058,0.0151286647842136
"1700123O20Rik",846.710008567943,-0.228384175629812,0.057756325127273,-3.95445890435839,7.67080546422928e-05,0.00068329904287006
"1810010D01Rik",12.0070397177664,0.771862343612843,0.297369012300809,2.58549689186411,0.00972387495222866,0.035977582356835
"1810026J23Rik",2146.8910806822,-0.101471537377889,0.0396267667277455,-2.56070177230939,0.0104460984605841,0.0379567832794404
"1810041L15Rik",366.141395233955,0.401647416545934,0.133864366210062,2.99976802930091,0.00270185289679513,0.0130972440933623
"1810055G02Rik",1444.61753560174,0.207439885640005,0.0508785924043311,4.07702090454436,4.56163930397231e-05,0.00043610739297494
"1810062G17Rik",11.3000360147843,0.811924675084938,0.279260625509777,2.8559088761896,0.00429138278873812,0.018850789633703
"2010300C02Rik",189.066933381876,0.507530912085847,0.150329819096638,3.3745328537992,0.000739410893946163,0.00448883086110319
"2210018M11Rik",2487.76866960983,-0.206041614595438,0.0597986103095021,-3.44562822835351,0.000569733589259256,0.0036124999631908
"2310022A10Rik",1116.61945078054,-0.169335633588535,0.0545549903073558,-3.10403442043787,0.00190901120397254,0.00973896130667535
"2310033P09Rik",735.020072041816,-0.311476677270824,0.0997861587462454,-3.12164878609718,0.00179841346589492,0.0092836456563134
"2310036O22Rik",3214.25041703785,-0.178189062976469,0.061398758673661,-2.90219118964876,0.00370562307332235,0.0168205853862876
