"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4"
"Tfdp2",2812,3464,3321,3561,2136,2499,2696,2296,1818,3101,1658,2018,3441,2260,1996,2248,1324,1191,1501,1375,1113,1472,1593
"Tfeb",183,182,181,214,107,192,206,257,303,396,339,265,781,427,429,337,248,303,273,282,300,419,500
"Tfec",72,34,31,46,34,41,103,70,203,81,66,104,270,213,263,146,66,109,361,295,355,152,158
"Tgif1",2797,2652,2604,2936,1677,1978,2325,2122,1973,2667,1227,1398,2540,1804,1878,1746,1164,1150,1654,1086,872,1044,1120
"Thra",1888,1834,1942,1889,1187,2482,2964,2699,2225,5134,2422,2486,8136,4738,3679,4633,3612,3243,2307,3566,3119,3199,3206
"Tox",848,1405,1318,1346,1021,945,965,860,744,1018,733,711,1032,697,622,677,544,489,606,608,474,459,538
"Tox3",667,814,786,771,524,767,769,712,316,782,283,379,660,443,350,468,391,392,307,329,256,259,314
"Trps1",5804,8657,8165,8561,5487,4766,4456,3734,3546,8184,5465,5720,7761,4296,5116,4082,3247,2440,2338,1482,1109,5107,5172
"Twist2",1648,1788,1774,1674,837,2400,3141,3121,2176,5798,2202,2230,15179,7710,5552,6345,5359,4853,2037,4366,3579,6510,5245
"Vax2",10,17,18,21,3,13,15,13,13,47,13,22,154,73,46,63,46,47,5,44,32,56,41
"Vsx2",1,2,0,2,0,10,1,4,0,4,10,6,20,13,3,11,8,13,2,5,2,5,12
"Ybx2",1272,1294,1251,1315,726,938,979,981,888,1311,652,647,1431,833,819,1021,920,525,615,516,452,399,577
"Yy2",513,581,537,585,332,470,468,299,268,407,308,305,590,480,381,419,269,195,236,175,186,276,228
"Zbtb12",2759,3018,2956,3330,1811,1951,2145,1787,1802,2531,1352,1350,2620,1721,1608,1585,1012,1073,1377,983,843,937,1011
"Zbtb20",50,46,51,42,22,41,72,70,70,94,49,72,180,122,116,134,96,74,46,49,65,153,129
"Zbtb26",1221,1278,1234,1239,754,903,851,822,601,1173,633,691,1377,1012,763,775,495,412,476,394,382,581,558
"Zbtb33",2073,2415,2223,2561,1499,2107,2336,1813,1283,2401,1274,1493,2648,1930,1509,1733,1095,911,894,866,889,1159,1026
"Zbtb39",2365,2885,2799,2959,1716,1749,1869,1882,1668,2451,1312,1334,2730,1597,1660,1683,1058,1024,1357,888,791,1069,1170
"Zbtb4",696,703,693,696,407,796,1007,968,831,2206,921,1013,3725,2224,1737,1921,1572,1296,913,1228,1267,2070,1917
"Zbtb7b",178,122,133,204,126,130,219,226,405,331,221,291,689,453,572,373,260,301,636,513,591,693,651
"Zfp101",1850,1745,1780,1980,1019,1327,1327,1201,862,1607,1075,1080,2090,1502,1308,1266,1126,656,583,548,482,919,919
