"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol"
"72128",2133.26395097374,-0.500475121792546,0.154081913170514,-3.2485042267646,0.00116013485191407,0.0329044440852852,"72128","2610008E11Rik"
"53314",124.59823728879,0.966588445350269,0.255476329009562,3.77286496809451,0.000161383641617861,0.0110926622642995,"53314","Batf"
"12606",995.811560429702,0.924443296980412,0.203673042645568,4.53448382950745,5.77445255243619e-06,0.00136461541916252,"12606","Cebpa"
"13048",350.294697743134,-0.760533848711588,0.230269906084001,-3.30721735987504,0.000942277466091644,0.0292503057021812,"13048","Cux2"
"13134",985.282666836616,-0.906634892407816,0.25913581610811,-3.51705397442661,0.000436365039766826,0.0188445460701334,"13134","Dach1"
"56501",2550.33471123865,0.586726724116284,0.120035418611941,4.88772067770803,1.02010121847935e-06,0.00042334200566893,"56501","Elf4"
"14284",1506.97074732724,0.713192180112184,0.201003439920645,3.54556862156058,0.000391766968181445,0.0180599227332217,"14284","Fosl2"
"15229",84.9446320969639,1.1140824529316,0.296116341967661,3.72816333451367,0.000192880358878479,0.0122916078888289,"15229","Foxd1"
"14106",28.2798009898246,0.979997638570982,0.295424827688751,3.29163844759373,0.000996055757241698,0.0303182266716771,"14106","Foxh1"
"14461",2098.26598288098,1.14079198877723,0.276256118526778,4.10521461705553,4.03939683297874e-05,0.00470755733651598,"14461","Gata2"
"14581",131.946373585774,1.05923759385642,0.266804049301215,3.95312895539686,7.7135838315107e-05,0.00666226542604845,"14581","Gfi1"
"16656",146.766833524199,0.545072251860695,0.154479315177342,3.52863172825071,0.000417713993216753,0.0185535520746398,"16656","Hivep3"
"15354",4179.06978339705,-0.568526243603572,0.120036894374311,-4.73641803973118,2.17528654205224e-06,0.000740042204111288,"15354","Hmgb3"
"15416",95.6458768261234,-0.696031668834936,0.156336057906342,-4.44251546232159,8.89132416266555e-06,0.00182272145334644,"15416","Hoxb8"
"16364",135.448001337935,1.07989919654186,0.266261533971646,4.03927685551849,5.3616249050168e-05,0.00557091704598969,"16364","Irf4"
"81703",858.914010174258,0.571237787656935,0.188292221620131,3.03246976252713,0.00242561397448142,0.0486122753543007,"81703","Jdp2"
"16598",1814.49371285847,0.915347632949413,0.289998930408565,3.13261177275448,0.00173258444776078,0.0403834580529448,"16598","Klf2"
"16600",3396.71829117986,0.748337831921988,0.243436410170327,3.06768930031314,0.00215720780308919,0.0456528492158737,"16600","Klf4"
"16870",944.410960571255,-0.808699794055659,0.243985850563559,-3.32403868107518,0.00088723888805006,0.0282703552063142,"16870","Lhx2"
"16876",1204.0186736834,-0.863045771709421,0.271163881863772,-3.20645277044581,0.00134382362469455,0.035812554231032,"16876","Lhx9"
"17002",78.4193551819078,1.36031696232287,0.285592591553358,5.13542940390825,2.8150053673752e-07,0.000208249201416909,"17002","Ltf"
"14013",2546.73694699375,-0.779947081821539,0.250636001654758,-3.12282866208232,0.0017912199040032,0.0410196590398578,"14013","Mecom"
"58805",109.579117068709,-0.713341608947176,0.221141588099942,-3.22511277339414,0.00125923055202347,0.0348387119393159,"58805","Mlxipl"
"18109",698.739153068506,-0.68228402976364,0.201809168897787,-3.38296970903709,0.000717065407667593,0.025104666484494,"18109","Mycn"
"18025",180.024398291611,-0.688549208460196,0.196857464785142,-3.49598984373899,0.000472306676386621,0.0197017603916043,"18025","Nfe2l3"
"19016",133.665310684979,0.973959416259494,0.275909503693097,3.51209253805871,0.000444593165659485,0.0190547927297132,"19016","Pparg"
"19698",325.502625895695,0.521471256249665,0.160491680340252,3.24888436823449,0.00115858564232523,0.0329044440852852,"19698","Relb"
"20666",8163.45706879874,-0.726826829573984,0.223153790583799,-3.26215659913673,0.0011056804485802,0.0322695588895234,"20666","Sox11"
"20684",86.9134971595021,1.17176804204599,0.256766566046488,4.5478201420423,5.42044278124971e-06,0.00131572545880941,"20684","Sp100"
"20850",442.146590946201,0.50394282253576,0.122911605472723,4.10019176952747,4.12807919489926e-05,0.00474589645278453,"20850","Stat5a"
"20852",1824.24373364919,0.598054583994763,0.155941217339746,3.83449980558184,0.000125820071847267,0.00932669664725103,"20852","Stat6"
"21425",402.17174630893,0.510092382413509,0.161052641602203,3.16677274536991,0.0015414072392109,0.0384560765031869,"21425","Tfeb"
"22724",595.597194305561,0.845388676937193,0.220285833899932,3.83291353328273,0.000126634473785279,0.00932669664725103,"22724","Zbtb7b"
"381405",44.429149944446,-0.784449015218254,0.23972544519648,-3.26576738464204,0.00109167886314751,0.0320786856482594,"381405","Zfp663"
"100043757",69.6433550593422,-1.02082417452402,0.287020608553622,-3.60258649774094,0.000315066509246956,0.0163440751671858,"100043757","Zfp831"
