"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","delta_max_min","min","cluster"
"Acvr2b",0.841400913802094,1,0.989464368190786,0.97796999934255,0.900835634209828,0.535135840135576,0.430348787338536,0.509603454868352,0.444717755954075,0.291096252397015,0.379923906855749,0.28022795917974,0.124040203104239,0.0801261456036161,0.102265463659089,0.15137336025523,0.0693779141007695,0.0851232471346592,0.294913782394163,0.0717183757579414,0,0.0149936015517915,0.0889083321401382,2.99721378611625,7.80182270697189,16
"Art5",0.917786034763703,0.960074791988066,0.881653638597534,1,0.856138351551809,0.495785750858621,0.480227570052799,0.546765382805536,0.369691078315363,0.220251200419613,0.141376901378328,0.155255571078359,0.0918239760147597,0.236911508306885,0.0247125819631847,0.221631430639962,0.238275534970406,0.071686814163984,0.31292940491942,0.167179721709316,0.0413996310020629,0,0.0464258672470719,2.63485930695544,4.41157653695296,16
"Asb4",0.829675930617761,0.976051060410464,0.980237068168366,0.990772646563825,1,0.601775331580028,0.561168879701941,0.547809266906071,0.433067510687653,0.32839850569537,0.411154994321838,0.363826807193814,0.122455945136016,0.193255569353686,0.157492859794059,0.169693143425233,0.182500986944377,0.130863913457893,0.245144337138345,0.0668905814246793,0.0109017651012064,0.0335985283093797,0,4.52303727894027,9.51899807327184,16
"Cpa2",0.804596926970732,0.90956347047632,0.91310665949212,1,0.92566270063153,0.480907405308804,0.355123309271982,0.41965008390862,0.325272605182485,0.204777441780763,0.241988566603388,0.185904946133543,0.0623438196081091,0.0177708800271531,0.177914241586252,0.122977709641944,0.0743341572496563,0.0616162368842647,0.209353016525496,0,0.0207930280443319,0.00613833140628525,0.0713471069814698,4.85883136996638,6.02242488493256,16
"Fgf8",0.606009163693094,0.808223786720956,0.829046032730281,1,0.999849779712405,0.525058361994519,0.51071491119629,0.568481517517273,0.403598207506347,0.272323813670984,0.337145295644739,0.245570874267753,0.0800930850207122,0,0.12870866055791,0.069899888440804,0.143710841317551,0.124664049690242,0.317149073023052,0.145809149125791,0.0279261008127344,0.0407655090259286,0.0754522842918514,5.33839636003696,3.79968198564421,16
"Fignl2",0.759896944836776,0.960824502129719,0.949377690995389,1,0.908402737125988,0.3507082829675,0.345147064034692,0.414982409404171,0.300281526352793,0.157226817108062,0.169178825928286,0.156876345459868,0.0415323408936286,0.0620313504696793,0.107331874688196,0.171906366937096,0.160148549086049,0.141728569714607,0.404379512303013,0,0.0011311796376275,0.248791719920707,0.0909959728510221,3.04598328070914,8.02427120258724,16
"Gulo",0.913582293947458,0.977092191656906,0.988239381305823,0.955237784857226,1,0.695559472787357,0.545873834334217,0.636830183974639,0.550393111480358,0.451924382600386,0.498222415076721,0.283811250656175,0.231388947015669,0.241604984205872,0.285814866882443,0.279486415178597,0.340186751180721,0.200987877723383,0.388970664120655,0.08949409329085,0.149053896598288,0,0.239633860920479,3.31769385755296,3.76907268957524,16
"Hfm1",0.84344184005383,0.939781078788208,0.922439122784455,1,0.893815631933897,0.565249800081737,0.663313316858472,0.376832835713089,0.492540603194958,0.307585580143806,0.380596974681607,0.306220478859392,0.252429295448183,0.486119452734295,0.0327270925695362,0.205944067014442,0.181131707003813,0.165674540890152,0.427152440929719,0.195219705332464,0.35079184034399,0,0.0294540804180013,3.12962029630545,4.56728505308633,16
"Hsd11b2",0.918648472060117,0.979348640794439,0.970186601661082,1,0.945568190759656,0.666637469987909,0.620902777773025,0.628053985235168,0.520026988215947,0.339160936150706,0.374974271668363,0.285275497880521,0.163679804777378,0.140816724382103,0.2561131944168,0.259483399567992,0.258127658706749,0.236953560785779,0.469053690322302,0.141890761853015,0.0790858163423189,0,0.0424497099239613,6.13424557782014,5.77804739940561,16
"Mogat2",0.850239559294459,0.933012443910117,0.919154048115704,1,0.975680522529314,0.48951586330063,0.483707380511934,0.48497495209879,0.465966341689295,0.324476866046971,0.336605002032143,0.230543697976827,0.259424179641069,0.262449417085956,0.298786900527715,0.157836806651376,0.228065594668203,0.192633945044977,0.389456061361629,0.0674768989767231,0,0.15369124825619,0.126265240718314,4.24303330722383,4.70510094118422,16
