"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","delta_max_min","min","cluster"
"Acvr2b",0.841165601381052,1,0.989907541919909,0.977664672764434,0.899900460145037,0.532805790527113,0.428713651772603,0.506973357469042,0.44527789983574,0.284879300866575,0.375924932775086,0.277942376896219,0.119730477865371,0.0737501576906358,0.0997418028179493,0.147517021323302,0.0629456866374247,0.0820653626114341,0.298115608237899,0.0715801752153761,0,0.0113900395742933,0.0862553427985701,2.9875282723805,7.8109183934449,5
"Art5",0.917733427485418,0.960011855328046,0.88152860901662,1,0.854877506442999,0.492997657666917,0.478344500976664,0.54384963433143,0.369606625555024,0.215496738925705,0.138703129244595,0.154009823217306,0.0900666023377851,0.232455708322768,0.0249529156371012,0.219147750932586,0.233821393258628,0.0710568623042532,0.31556066437011,0.168182517068853,0.0435061560731809,0,0.0463717981546631,2.59352465634166,4.43330122134381,5
"Asb4",0.83028681639528,0.976450801242814,0.980965283153916,0.99101621533249,1,0.601632301639987,0.561735120475009,0.547498481968611,0.435001740725451,0.326013701691019,0.410133954669955,0.364172003373417,0.121506980971713,0.191093049661287,0.157857870120025,0.169054261782582,0.180299793980341,0.130863081546569,0.249014447293426,0.0687727871746181,0.0129374382701697,0.0332185539439571,0,4.52957676713932,9.5141654421074,5
"Cpa2",0.804515904632783,0.909510296801054,0.913362901588223,1,0.92527221158995,0.479518545626757,0.35413652661776,0.418014054145353,0.325518590106096,0.20105972965009,0.239490913854523,0.18453414297624,0.0598782542568143,0.0141469444886451,0.176768340747124,0.120830320276618,0.0707797775248372,0.0599991036407995,0.211260329259778,0,0.0210931388040701,0.00425972493121701,0.0699665709871164,4.8476048127872,6.03118254507079,5
"Cyp26b1",0.806593209315031,0.973606516801271,0.969902320315092,1,0.962702096318574,0.643308687462414,0.52663667860498,0.597903137607182,0.511464245290838,0.474991458977418,0.543579276064156,0.495532836896374,0.357706666910906,0.289359263226074,0.425826772419289,0.329895230269768,0.413627517419629,0.315071809478285,0.35468403969167,0.110346730028514,0,0.365878279288026,0.399495434536357,4.90664228806397,9.55680667702202,5
"Dusp9",0.845232695417121,0.953036585339831,0.954426700702286,1,0.94929419601943,0.598070782835735,0.546759321334507,0.588033766934558,0.524045398385901,0.415616451761697,0.514845201949123,0.45902649409075,0.232876606815387,0.306723465816851,0.367817591668216,0.203242283452542,0.251593230405078,0.268446154904928,0.419169744043822,0.127469220330412,0,0.16965901489077,0.126679831141862,4.22613563391024,7.75532481753789,5
"Fgf8",0.605625137015035,0.807928067214389,0.829049157409939,1,0.999645171604195,0.524113570550878,0.510323859318485,0.567428907819346,0.404335765535397,0.27023374786298,0.335841037999554,0.245496791000392,0.0801395297148245,0,0.129296134669961,0.0702033763827749,0.142546275133566,0.125071651382883,0.319545843666072,0.147440589724521,0.0303142102613338,0.0415962836202039,0.0763185305511796,5.31245389438044,3.81154138446748,5
"Fignl2",0.759663989259962,0.960926138944062,0.94991927913196,1,0.907753205745223,0.348131324194347,0.343590113114203,0.412407513700442,0.300665238852206,0.151040084555839,0.164910639400293,0.154567136084382,0.0373844455672736,0.0560529610664909,0.105251392462556,0.168547640255458,0.154440058612557,0.139295577978426,0.40835133375352,0,0.00157219452800761,0.246429659941658,0.0887783786378022,3.03738683443109,8.03195945254507,5
"Gldc",0.727464843135017,0.912292857767863,0.927343821892929,1,0.916472014107025,0.453496153697419,0.452317372343823,0.522322212902315,0.398675347775381,0.355196836273056,0.298521152757125,0.289721786973232,0.0669194698903088,0.173531157350434,0.120578571305105,0.224016841505054,0.155008408401741,0.36200974529117,0.611869980292771,0.0582061506206645,0,0.47787040143701,0.451600965644123,4.27182974733183,5.75243965813661,5
"Gulo",0.913454821730246,0.977309686696543,0.988946571351539,0.955064104063181,1,0.692929700306192,0.543251080981753,0.63370119962581,0.549318381790639,0.446194165891506,0.493940326992063,0.280978027484488,0.228000884971208,0.23695886276033,0.283259241148145,0.276014509752145,0.335006215779968,0.198549527814379,0.389539955630688,0.0896285389504348,0.148888928983698,0,0.237227495700744,3.25826249064849,3.808615722394,5
