"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","Family"
"Fosb",0.177345971,0.53606331,0.564148856,0.435665748,0.289324911,0.994734886,1,0.970516744,0.417906098,0,0.492012187,0.404297971,0.572165744,0.179250282,0.359785952,0.313299722,0.026470654,0.192638623,0.908435216,0.464297664,0.217456981,0.668765492,0.387246616,"TF_bZIP"
"Fosl2",0,0.304889251,0.208248782,0.170103904,0.214905275,0.01032171,0.363082124,0.325676139,0.125464605,0.59504607,0.375844538,0.398655661,0.564694078,0.524342281,0.504384344,0.574424865,0.570152812,0.611959228,0.37613294,0.477699888,0.654486774,1,0.987785637,"TF_bZIP"
"Maf",0.160456481,0,0.010412585,0.017147333,0.16813698,0.298217725,0.333029702,0.154963422,0.384481058,0.314700384,0.491138809,0.597584076,0.464352443,0.546759909,0.551934258,0.482305327,0.447347484,0.433362773,0.781650396,0.749407761,1,0.530629942,0.508836091,"TF_bZIP"
"Zbtb20",0.31601567,0.373054298,0.462334807,0.192652553,0.171179674,0,0.322680622,0.369631257,0.411071687,0.30107839,0.303964447,0.495332541,0.558221189,0.580756389,0.626255697,0.748825386,0.785607393,0.576921076,0.22187711,0.236938972,0.623990648,1,0.910920576,"ZBTB"
"Zbtb7b",0.288480826,0.180700625,0.233605668,0.356829037,0.419670221,0,0.213568357,0.276678264,0.607859144,0.27270566,0.400710631,0.479761387,0.494145008,0.493948424,0.674042139,0.456653217,0.467747753,0.539481637,0.929757673,0.792742814,1,0.87925014,0.878554814,"ZBTB"
"Fezf2",0.286679705,0.270690554,0.217667488,0.188052451,0.356612219,0.715986801,1,0.876898773,0.693538121,0.496341992,0.272826693,0.250153409,0.24514668,0.329351419,0.232664586,0.522967614,0.491732637,0.441692311,0.644492499,0.524252386,0.530721469,0,0.05805039,"zf-C2H2"
"Gfi1",0.164710627,0.12641112,0.004953929,0.210787204,0.174301067,0,0.038559293,0.020284043,0.398973826,0.025518018,0.130764139,0.222614051,0.453084955,0.602146638,0.72916589,0.415421968,0.435437006,0.559442403,0.759367006,0.590181942,0.906815075,0.924330404,1,"zf-C2H2"
"Ikzf1",0.295897844,0.127782686,0.116269242,0.236704756,0.390308829,0.293184232,0.374541798,0.255793718,0.760249695,0,0.418756986,0.531031738,0.450003362,0.536646148,0.844441439,0.511390478,0.409628998,0.599641155,0.940085187,0.776707216,0.927488686,1,0.946318771,"zf-C2H2"
"Klf2",0,0.132418368,0.246425787,0.362692407,0.224150552,0.196917371,0.44245961,0.463818643,0.52863079,0.325792868,0.633918431,0.507102425,0.663258157,0.492091969,0.629981851,0.479711574,0.499856908,0.608709006,0.994594006,0.595240433,0.722144883,0.958881714,1,"zf-C2H2"
"Klf5",0.271717886,0.400061693,0.399531985,0.396823855,0.550215222,0,0.07964393,0.096022447,0.088340833,0.571310966,0.508265551,0.478013318,0.388681843,0.483203398,0.39122342,0.40993578,0.446008949,0.498089803,0.432584929,0.291460534,0.350408979,0.963148076,1,"zf-C2H2"
"Zic1",0.358110767,0.980574386,1,0.449413082,0.082968723,0.176523533,0.290283586,0.046441383,0.284507077,0,0.062651684,0.038467906,0.456683385,0.389838464,0.102855705,0.604972505,0.426209508,0.354240294,0.2477545,0.716323924,0.686490407,0.552173376,0.326466725,"zf-C2H2"
"Gata1",0.463125858,0.296564493,0.221097894,0.378685099,0.338593641,0,0.108968029,0.258265453,0.546068826,0.015798298,0.363040573,0.334746625,0.344769597,0.291164792,0.816311367,0.43989579,0.402670767,0.659574444,0.708720308,0.593660688,0.789711533,1,0.981381387,"zf-GATA"
"Gata2",0,0.079198025,0.076519148,0.076066794,0.157284507,0.050869813,0.063113661,0.057590609,0.35845398,0.085879571,0.312356024,0.404538253,0.302159487,0.352173536,0.755422213,0.4728365,0.437863745,0.612138898,0.462423763,0.594824615,0.725031612,1,0.979632262,"zf-GATA"
"Irf4",0.099228106,0,0.002074352,0.13489136,0.084724521,0.149464203,0.387739414,0.38203296,0.44320727,0.216865219,0.328141133,0.310440486,0.465207719,0.463744932,0.501040621,0.574587155,0.391201746,0.687819964,0.645431531,0.603337319,0.788177551,1,0.749200606,"IRF"
"Irf5",0.191756223,0.40323963,0.333077982,0.372800189,0.40161339,0.049993505,0.237118204,0.187521637,0.613576729,0,0.331170924,0.455495846,0.408470646,0.449404972,0.577344247,0.332435901,0.232858127,0.477590577,0.906156875,0.811635358,1,0.523091093,0.562675547,"IRF"
"Irf7",0.225900195,0,0.005519241,0.117526437,0.241878901,0.075260019,0.240326406,0.167958962,0.738779513,0.426931178,0.396451364,0.346346179,0.400648719,0.837039062,0.771847402,0.38120441,0.464502906,0.60625244,0.917328691,0.808262916,0.973705629,0.967729759,1,"IRF"
"Irf8",0.291888742,0.029549682,0,0.176205208,0.234647144,0.176480448,0.309928313,0.236684615,0.669838758,0.077204803,0.245737512,0.402012616,0.415862657,0.453702303,0.555177782,0.433965135,0.285473905,0.415865285,0.976017729,0.820691378,1,0.470080014,0.517026634,"IRF"
"Sp100",0.214262754,0,0.065419901,0.327648981,0.175434266,0.201279702,0.165740806,0.319142823,0.666414712,0.128894684,0.343377459,0.574861538,0.461032043,0.46319106,0.593165665,0.483370708,0.259037052,0.546808282,0.796358296,0.771112919,0.911192918,0.836497617,1,"SAND"
"Sp110",0.171442015,0.017879908,0,0.082140949,0.189123466,0.144676273,0.23428806,0.21751499,0.710613249,0.018900873,0.304822727,0.34919584,0.366947269,0.419763783,0.560372057,0.293317308,0.130233168,0.294000367,1,0.716699838,0.932283454,0.426056829,0.591537828,"SAND"
"Sp140",0.172253355,0.181664202,0.17755566,0.411907685,0.330882617,0.033526611,0.21642688,0.233549439,0.628324264,0,0.221038807,0.386371495,0.359865841,0.509745078,0.623722598,0.21225525,0.097637642,0.338294523,1,0.676126811,0.9977142,0.55012469,0.647480049,"SAND"
"Stat5a",0.159213193,0.296976556,0.226021625,0,0.201516153,0.109703441,0.226155444,0.090508694,0.411854068,0.105989189,0.187574848,0.359799647,0.576755767,0.664337337,0.542928037,0.65737106,0.610178269,0.680387892,0.810728282,0.738023292,1,0.869851948,0.929877202,"STAT"
"Stat6",0.219308349,0.289105143,0.224445298,0.233379849,0.242367082,0,0.157119783,0.177632647,0.506723033,0.383281886,0.316833606,0.334229579,0.54690628,0.493699067,0.559550047,0.525458049,0.58902971,0.598275124,0.8565396,0.727271461,1,0.796807064,0.800096921,"STAT"
"Elf1",0.21320466,0.535640211,0.471535903,0.478263058,0.725595217,0.059241873,0.135577253,0,0.335853915,0.372077994,0.296552355,0.347540551,0.323119993,0.279309132,0.507863191,0.232256872,0.212276064,0.415113295,0.821730961,0.423873103,0.809060496,1,0.924810228,"ETS"
"Spi1",0.272642792,0.00434797,0,0.228824068,0.188000496,0.153404873,0.288664847,0.224000254,0.691696562,0.029452543,0.356089365,0.422602121,0.45095216,0.502264912,0.613169551,0.406213414,0.267931473,0.516585983,0.968804573,0.846221232,1,0.545504309,0.64971626,"ETS"
"Mef2c",0.297694983,0.148374364,0.096035533,0.129959689,0.297494553,0.271648387,0.431154625,0,0.54127012,0.560692035,0.657507101,0.839474326,0.510761202,0.708624285,0.637179057,0.550425067,0.51256581,0.537669696,0.76431406,0.682515157,1,0.453533926,0.494257223,"SRF"
"Tead4",0.095202582,0.181945595,0.154752016,0.380808925,0.419383068,0.100229955,0.426146832,0.387867792,0,0.241066284,0.173753096,0.477536753,0.577947942,0.805489733,0.127851425,1,0.380465884,0.758220358,0.872207765,0.98693532,0.874928684,0.647074843,0.579184338,"TEA"
"Pou2f2",0.564889262,0.555385634,0.564477675,0.550210829,0.525915658,0.352644698,0.421508937,0.406313804,0.7079591,0,0.222230096,0.397320582,0.465862906,0.423957948,0.536303981,0.388369314,0.339849982,0.437479992,0.916472107,0.803374905,1,0.576537184,0.557884403,"Pou"
"Relb",0.220351311,0.350802552,0.478255975,0.391199527,0.383653144,0,0.154290786,0.172788696,0.318052216,0.58325469,0.465703347,0.315377637,0.570801785,0.565855324,0.319871915,0.594979025,0.896465194,0.608820373,0.433804311,0.670328721,0.891243269,0.682580969,1,"RHD"
"Runx1",0.161363622,0.280170712,0.251030907,0.245220672,0.302883754,0.426667893,0.613090892,0.353682409,0.640917688,0.107552258,0.211027528,0.277704974,0.089931805,0.142841048,0.375066687,0.338329578,0,0.118702522,1,0.50300192,0.739010881,0.744143595,0.620512892,"Runt"
"Arid5a",0.452642249,0.582056756,0.446465027,0.301375092,0.440288423,0,0.277361754,0.221753761,0.62316276,0.238465066,0.511486103,0.597813469,0.586856834,0.738618117,0.585973141,0.672096939,0.481540097,0.567039725,0.83036262,0.722753736,1,0.699053524,0.833818356,"ARID"
"Csrnp1",0.147483607,0.276514441,0.2253375,0.145255303,0.054063506,0.097890282,0.550210905,0.268277964,0.369613439,0.115792183,0.121577762,0,0.547492412,0.270570044,0.381474698,0.556215194,0.535889494,0.601876649,0.687712677,0.521592068,0.645106027,1,0.693932104,"CSRNP_N"
"Pparg",0,0.088431315,0.029033144,0.110747174,0.128096182,0.060491236,0.273588719,0.199446992,0.272412902,0.459340142,0.231847355,0.283081811,0.500300034,0.502293308,0.388602657,0.59925097,0.596317913,0.711238806,0.658390321,0.726245163,1,0.687041753,0.643470311,"THR-like"
"Rorc",0.036216532,0.076305859,0,0.180023876,0.025645006,0.258057731,0.307755737,0.045561614,0.657991634,0.22769693,0.414855171,0.450416932,0.382718467,0.415784489,0.645431882,0.354851207,0.313487664,0.223525375,1,0.468654637,0.648771839,0.251779948,0.355399189,"THR-like"
"Plek",0.36560417,0.149815547,0.167541643,0.327024642,0.321071148,0.29959884,0.617412065,0.340090966,0.528872317,0,0.205661879,0.353503114,0.397681973,0.524974151,0.436040315,0.364296823,0.078797584,0.296238277,0.866813906,0.787977845,1,0.29243813,0.32037629,"Others"
"Zfp750",0.061236848,0.422206225,0.361167534,0.526063817,0.517859209,0,0.107969998,0.131781341,0.051709517,0.716215688,0.705358066,0.687698126,0.320474358,0.408907482,0.513609818,0.178875802,0.429504166,0.441467749,0.2403094,0.176316011,0.394500704,0.839900574,1,"Others"
